|Channel_name|qty.
20|Bol News|4799
37|Geo News|1391
49|TV ONE|820
4|Abbtakk|652
35|Geo Ent|312
40|HUM TV|293
12|ARY News|289
10|ARY Digital|252
36|Geo Kahani|248
38|Geo Super|242
39|GEO Tez|233
34|Express News|227
3|AAJ News|225
2|APlus|196
33|Dunya TV News|160
25|Channel 92|159
114|Royal TV|153
24|Channel 24|150
47|Samaa TV|135
29|Dawn News|120
44|Neo|104
13|ARY Zindagi|103
45|News One|101
50|Urdu 1|96
0|8Xmusic|93
55|Filmazia|92
22|Capital TV|80
15|ATV|68
30|Dawn News Urdu|65
11|ARY Musik|64
23|Cartoon Network|63
8|APNA Channel|60
31|Din News|53
21|Business Plus|50
9|Aruj TV|47
53|Film World|47
1|ALite|45
41|Hum2|43
14|ARY Zouq|42
59|KTN|41
17|Awaz TV|41
6|Aman TV|36
5|Adventure 1|35
19|BBC World|35
18|AXN|34
16|AVT Khyber|34
27|City 42|32
32|Discovery|32
56|Hum Sitary|31
7|Animal Planet|30
26|Channel V|29
54|Filmax|28
73|MetroOne|28
52|Dunya TV Ent|28
58|Jalwa|23
69|Express Music|22
88|Khyber News|21
46|Sach TV|21
90|News5|21
82|Dhoom TV|20
80|Sindh TV|18
42|jaag|17
72|KTN News|17
86|Indus Music|16
78|Play|16
81|STAR Movies|15
84|HBO|14
51|WAQT|14
57|Indus Vision|14
65|Masala TV|13
64|Ten Sports|12
76|Oxygene|11
83|Fox News|11
68|ESPN|11
74|Dharti TV|9
99|Madni Court|9
89|KoheNoor|9
100|STAR World|9
62|STAR Sports|9
60|Nickelodeon|9
95|Star Asia|9
75|Mehran TV|8
28|CNN|8
66|Starlite|8
94|Sindh TV News|8
106|Hope|8
61|Ravi TV|7
71|KTN Kashish|7
79|Sachal Music TV|7
48|Silver Screen|6
96|The Musik|6
111|Sachal TV|5
112|DW TV Asia |5
70|Health Channel|5
87|JaggCNBCPakis|5
93|Roze TV CNO|4
98|WASEB TV|4
63|Style360|4
102|Jinnah TV|4
108|Mashriq TVCNO|3
91|Q TV Court|3
85|Hero TV|3
109|Mirror TV CNO|3
117|ZAM TV CNO|2
113|Nat Geo Eng|2
119|Punjab TV|2
43|K2|2
104|Sohni Dharti|2
103|Kook|2
101|WB|2
92|Rohi|2
77|OYE|2
107|Lights Asia|1
105|Ujala TV|1
110|NVibe|1
67|VTV3|1
97|VSH TV|1
115|VTV2|1
116|VTV4|1
118|SabzBaat TV|1
120|Tarka|1
121|Zaiqa|1
