Serial#|Channel name|Complaints Received Qty.|Month|Year|Complaint ID|Complaint|neg|pos
1|8Xmusic|5|January|2017|85633|.........,,......|0.121|0.0
1|8Xmusic|5|January|2017|85638|.........,,......|0.093|0.168
1|8Xmusic|5|January|2017|86380|.........,,......|0.166|0.062
1|8Xmusic|5|January|2017|86381|.........,,......|0.166|0.062
1|8Xmusic|5|January|2017|86448|.........,,......|0.07200000000000001|0.077
2|A-Lite|4|January|2017|86098|.........,,......|0.13699999999999998|0.16699999999999998
2|A-Lite|4|January|2017|86380|.........,,......|0.166|0.062
2|A-Lite|4|January|2017|86381|.........,,......|0.166|0.062
2|A-Lite|4|January|2017|86448|.........,,......|0.07200000000000001|0.077
3|A-Plus|6|January|2017|85545|.........,,......|0.03|0.154
3|A-Plus|6|January|2017|86098|.........,,......|0.13699999999999998|0.16699999999999998
3|A-Plus|6|January|2017|86380|.........,,......|0.166|0.062
3|A-Plus|6|January|2017|86381|.........,,......|0.166|0.062
3|A-Plus|6|January|2017|86448|.........,,......|0.07200000000000001|0.077
4|AAJ News|7|January|2017|85588|.........,,......|0.117|0.116
4|AAJ News|7|January|2017|86098|.........,,......|0.13699999999999998|0.16699999999999998
4|AAJ News|7|January|2017|86380|.........,,......|0.166|0.062
4|AAJ News|7|January|2017|86381|.........,,......|0.166|0.062
4|AAJ News|7|January|2017|86448|.........,,......|0.07200000000000001|0.077
4|AAJ News|7|January|2017|86529|.........,,......|0.069|0.118
5|Abbtakk|6|January|2017|85955|.........,,......|0.068|0.0
5|Abbtakk|6|January|2017|86098|.........,,......|0.13699999999999998|0.16699999999999998
5|Abbtakk|6|January|2017|86380|.........,,......|0.166|0.062
5|Abbtakk|6|January|2017|86381|.........,,......|0.166|0.062
5|Abbtakk|6|January|2017|86448|.........,,......|0.07200000000000001|0.077
5|Abbtakk|6|January|2017|86529|.........,,......|0.069|0.118
6|Adventure 1|4|January|2017|86098|.........,,......|0.13699999999999998|0.16699999999999998
6|Adventure 1|4|January|2017|86380|.........,,......|0.166|0.062
6|Adventure 1|4|January|2017|86381|.........,,......|0.166|0.062
6|Adventure 1|4|January|2017|86448|.........,,......|0.07200000000000001|0.077
7|Aman TV|4|January|2017|86098|.........,,......|0.13699999999999998|0.16699999999999998
7|Aman TV|4|January|2017|86380|.........,,......|0.166|0.062
7|Aman TV|4|January|2017|86381|.........,,......|0.166|0.062
7|Aman TV|4|January|2017|86448|.........,,......|0.07200000000000001|0.077
8|Animal Planet|3|January|2017|86380|.........,,......|0.166|0.062
8|Animal Planet|3|January|2017|86381|.........,,......|0.166|0.062
8|Animal Planet|3|January|2017|86448|.........,,......|0.07200000000000001|0.077
9|APNA Channel|4|January|2017|86098|.........,,......|0.13699999999999998|0.16699999999999998
9|APNA Channel|4|January|2017|86380|.........,,......|0.166|0.062
9|APNA Channel|4|January|2017|86381|.........,,......|0.166|0.062
9|APNA Channel|4|January|2017|86448|.........,,......|0.07200000000000001|0.077
10|Aruj TV|4|January|2017|86098|.........,,......|0.13699999999999998|0.16699999999999998
10|Aruj TV|4|January|2017|86380|.........,,......|0.166|0.062
10|Aruj TV|4|January|2017|86381|.........,,......|0.166|0.062
10|Aruj TV|4|January|2017|86448|.........,,......|0.07200000000000001|0.077
11|ARY Digital|9|January|2017|85530|.........,,......|0.049|0.17
11|ARY Digital|9|January|2017|85545|.........,,......|0.03|0.154
11|ARY Digital|9|January|2017|85583|.........,,......|0.14300000000000002|0.067
11|ARY Digital|9|January|2017|85605|.........,,......|0.217|0.1
11|ARY Digital|9|January|2017|85668|.........,,......|0.214|0.026
11|ARY Digital|9|January|2017|86098|.........,,......|0.13699999999999998|0.16699999999999998
11|ARY Digital|9|January|2017|86380|.........,,......|0.166|0.062
11|ARY Digital|9|January|2017|86381|.........,,......|0.166|0.062
11|ARY Digital|9|January|2017|86448|.........,,......|0.07200000000000001|0.077
12|ARY Musik|4|January|2017|86098|.........,,......|0.13699999999999998|0.16699999999999998
12|ARY Musik|4|January|2017|86380|.........,,......|0.166|0.062
12|ARY Musik|4|January|2017|86381|.........,,......|0.166|0.062
12|ARY Musik|4|January|2017|86448|.........,,......|0.07200000000000001|0.077
13|ARY News|10|January|2017|85521|.........,,......|0.215|0.136
13|ARY News|10|January|2017|85530|.........,,......|0.049|0.17
13|ARY News|10|January|2017|85588|.........,,......|0.117|0.116
13|ARY News|10|January|2017|86098|.........,,......|0.13699999999999998|0.16699999999999998
13|ARY News|10|January|2017|86334|.........,,......|0.158|0.0
13|ARY News|10|January|2017|86380|.........,,......|0.166|0.062
13|ARY News|10|January|2017|86381|.........,,......|0.166|0.062
13|ARY News|10|January|2017|86443|.........,,......|0.0|0.297
13|ARY News|10|January|2017|86448|.........,,......|0.07200000000000001|0.077
13|ARY News|10|January|2017|86529|.........,,......|0.069|0.118
14|ARY Zindagi|5|January|2017|86098|.........,,......|0.13699999999999998|0.16699999999999998
14|ARY Zindagi|5|January|2017|86380|.........,,......|0.166|0.062
14|ARY Zindagi|5|January|2017|86381|.........,,......|0.166|0.062
14|ARY Zindagi|5|January|2017|86448|.........,,......|0.07200000000000001|0.077
14|ARY Zindagi|5|January|2017|86556|.........,,......|0.124|0.086
15|ARY Zouq|4|January|2017|86098|.........,,......|0.13699999999999998|0.16699999999999998
15|ARY Zouq|4|January|2017|86380|.........,,......|0.166|0.062
15|ARY Zouq|4|January|2017|86381|.........,,......|0.166|0.062
15|ARY Zouq|4|January|2017|86448|.........,,......|0.07200000000000001|0.077
16|ATV|7|January|2017|85621|.........,,......|0.122|0.118
16|ATV|7|January|2017|85622|.........,,......|0.0|0.348
16|ATV|7|January|2017|86098|.........,,......|0.13699999999999998|0.16699999999999998
16|ATV|7|January|2017|86380|.........,,......|0.166|0.062
16|ATV|7|January|2017|86381|.........,,......|0.166|0.062
16|ATV|7|January|2017|86448|.........,,......|0.07200000000000001|0.077
17|AVT Khyber|4|January|2017|86098|.........,,......|0.13699999999999998|0.16699999999999998
