Year    	Hospitals    	Dispensaries   	BHUs Sub Health Centres 	Maternity & Child Health Centres 	Rural Health Centres  	TB Centres   	Total Beds   	Population per Bed  
2000	876	4635	5171	856	531	274	93907	1456
2001	907	4625	5230	879	541	272	97945	1427
2002	906	4590	5308	862	550	285	98264	1454
2003	906	4554	5290	907	552	289	98684	1479
2004	916	4582	5301	906	552	289	99908	1492
2005	919	4632	5334	907	556	289	101490	1483
2006	924	4712	5336	906	560	288	102073	1508
2007	945	4755	5349	903	562	290	103285	1544
2008	948	4794	5310	908	561	293	103037	1575
2009	968	4813	5345	906	572	293	103708	1592
2010	972	4842	5344	909	577	304	104137	1701
2011	980	5039	5449	851	579	345	107537	1647
2012	1092	5176	5478	628	640	326	111802	1616
2013	1113	5413	5571	687	667	329	118378	1557
2014	1143	5548	5438	670	669	334	118170	1591
2015	1172	5695	5478	733	684	339	119548	1604
2016	1205	5797	5473	734	668	342	122769	1592
2017 (P)	1211	5697	5508	738	676	431	126019	1580
table	NATIONAL MEDICAL AND HEALTH ESTABLISHMENTS, Progressive	NATIONAL MEDICAL AND HEALTH ESTABLISHMENTS, Progressive	NATIONAL MEDICAL AND HEALTH ESTABLISHMENTS, Progressive	NATIONAL MEDICAL AND HEALTH ESTABLISHMENTS, Progressive	NATIONAL MEDICAL AND HEALTH ESTABLISHMENTS, Progressive	NATIONAL MEDICAL AND HEALTH ESTABLISHMENTS, Progressive	NATIONAL MEDICAL AND HEALTH ESTABLISHMENTS, Progressive	NATIONAL MEDICAL AND HEALTH ESTABLISHMENTS, Progressive

