 Year   	Registered Doctors	Registered Dentists	Registered Nurses	Registered Mid-wives  	Registered Lady Health Visitors 	 Population per  Doctor 	 Population per  Dentist	 Expenditure Development	(Mln. Rs) Non-Development 
2000	92838	4165	37528	22525	5443	1529	33629	5944	18337
2001	97260	4612	40019	22711	5669	1516	31579	6688	18717
2002	102644	5058	44520	23084	6397	1466	29405	6609	22205
2003	108164	5531	46331	23318	6599	1404	27414	8500	24305
2004	113309	6128	48446	23559	6741	1359	25107	11000	27000
2005	118113	6734	51270	23897	7073	1310	25297	16000	24000
2006	123146	7438	57646	24692	8405	1254	20839	20000	30000
2007	128042	8215	62651	25261	9302	1245	19417	27228	32670
2008	133925	9012	65387	25534	10002	1212	18010	32700	41100
2009	139488	9822	69313	26225	10731	1184	16814	37860	41000
2010	144901	10508	73244	27153	11510	1222	16854	18706	23382
2011	152368	11649	77683	30722	12621	1162	15203	26250	28870
2012	160880	12692	82119	31503	13678	1123	14238	33471	92486
2013	167759	13716	86183	32677	14388	1099	13441	58736	114680
2014	175223	15106	90276	33687	15325	1073	12447	69134	130188
2015	184711	16652	94766	34668	16448	1038	11513	78071	147260
2016	195896	18333	99228	36326	17384	997	10658	101726	190170
2017	208007	20463	103777	38060	18400	957	9730	40662	126499
table	REGISTERED MEDICAL AND PARAMEDICAL PERSONNEL (Progressive) AND EXPENDITURE ON HEALTH 	REGISTERED MEDICAL AND PARAMEDICAL PERSONNEL (Progressive) AND EXPENDITURE ON HEALTH 	REGISTERED MEDICAL AND PARAMEDICAL PERSONNEL (Progressive) AND EXPENDITURE ON HEALTH 	REGISTERED MEDICAL AND PARAMEDICAL PERSONNEL (Progressive) AND EXPENDITURE ON HEALTH 	REGISTERED MEDICAL AND PARAMEDICAL PERSONNEL (Progressive) AND EXPENDITURE ON HEALTH 	REGISTERED MEDICAL AND PARAMEDICAL PERSONNEL (Progressive) AND EXPENDITURE ON HEALTH 	REGISTERED MEDICAL AND PARAMEDICAL PERSONNEL (Progressive) AND EXPENDITURE ON HEALTH 	REGISTERED MEDICAL AND PARAMEDICAL PERSONNEL (Progressive) AND EXPENDITURE ON HEALTH 	REGISTERED MEDICAL AND PARAMEDICAL PERSONNEL (Progressive) AND EXPENDITURE ON HEALTH 

