Vaccine/doze.	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	table
B.C.G.	5884.4	6133.4	5924.9	5813.3	6062	6186.4	6150.8	5848.5	6233.7	6356.5	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
POLIO 0	3428.7	3650	3773.1	3844.4	4200.3	4464.2	4746.2	4796.7	5120.1	5420.8	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
POLIO I	5556.1	5884.9	5852.6	5698.5	5822.8	5905.2	5838.7	5743.6	5990.7	6001.4	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
POLIO II	5034.4	5402.7	5526.7	5356	5445.9	5538.9	5494.8	5387.8	5537.9	5618.4	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
POLIO III	4819.1	5277.4	5422.4	5218.1	5330.5	5398	5369.4	5257.4	5378.7	5455.2	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
POLIO IV	-	-	-	-	-	-	-	-	-	-	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
POLIO BR	60.9	35.8	81.3	86.1	-	-	-	-	-	-	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
COMBO I	5071.7	-	-	-	-	-	-	-	-	-	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
COMB II	4612.5	-	-	-	-	-	-	-	-	-	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
COMB III	4356.2	-	-	-	-	-	-	-	-	-	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
D.P.T I	-	-	-	-	-	-	-	-	-	-	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
D.P.T II	-	-	-	-	-	-	-	-	-	-	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
D.P.T III	-	-	-	-	-	-	-	-	-	-	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
D.P.T BR	-	-	-	-	-	-	-	-	-	-	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
H.B.V I	-	-	-	-	-	-	-	-	-	-	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
H.B.V II	-	-	-	-	-	-	-	-	-	-	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
H.B.V III	-	-	-	-	-	-	-	-	-	-	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
Pentavalent I	-	5925	5862.9	5606.3	5773.2	5921.6	5843.5	5713.7	5933.6	6009	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
Pentavalent II	-	5461.3	5555.1	5266.8	5400.2	5552.8	5491	5353.2	5532.2	5625	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
Pentavalent III	-	5338.5	5407.3	5129.2	5275.6	5411.6	5370.8	5225.9	5371.7	5472	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
T.T I	4307.1	4919.8	5050.2	5089.9	5361.9	5157.2	4536.5	5048.2	4569.7	4690.3	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
T.T II	3385	3791.7	4065.1	4121	4279	4235	3708.5	4063.1	3934.9	3993.8	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
T.T III	865.7	937.8	897	812.9	815.1	783.2	577.7	586.7	398.5	191.4	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
T.T IV	279	284.9	268.2	234.4	229.8	312.3	185.4	157.9	97.8	51.9	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
T.T V	152.1	168.9	165	127.2	128.4	130.1	105.8	86.6	56.8	27.4	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
MEASLES	5277.8	5297.4	5299.6	8211.3	9085.8	4490.3	5370.8	5192.1	5516.8	5606.5	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
MEASLES II	-	1806.3	2799.7	2799.7	-	5622.7	4536.5	4193.5	4684.7	4710.9	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
Pneumococcal (PCV10) I	-	-	-	-	-	3588.7	5526.3	5641.8	5884.3	5994.4	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
Pneumococcal (PCV10) II	-	-	-	-	-	3195.3	5197.4	5388.6	5505.8	5605.1	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
Pneumococcal (PCV10) III	-	-	-	-	-	3008.4	5072.4	5175.9	5374.9	5470.6	DATA ON EXPANDED PROGRAMME OF IMMUNIZATION VACCINATION PERFORMANCE
