Period    	Faisalabad   	Gujranwala   	Hyderabad	Islamabad	Karachi    	Lahore    	Peshawar   	Quetta    	Rawalpindi   	Sukkur    	Average    
2000	40	40	33.75	33.13	32.4	38.93	30	107.5	32.92	30	41.86
2001	40	40	33.75	33.13	33	41.96	43.33	107.5	33.75	30	43.64
2002	40	50	30	33.13	35	41.25	43.33	95	33.96	30	43.17
2003	40	50	31.25	45	36.35	41.96	50	100	38.75	30	46.33
2004	41.25	50	33	45	36.25	41.96	50	100	38.75	30	46.62
2005	41.25	50	33.75	46.25	38.08	44.29	50	100	42.08	30	47.57
2006	41.25	50	33.75	55	41.73	52.68	50	100	43.75	50	51.81
2007	43.75	50	50	55	55	52.68	50	120	43.75	75	59.52
2008	75	65	50	75	80	63.21	100	130	61.67	75	77.49
2009	75	65	50	75	93.85	68.93	100	120	61.67	75	78.45
2010	75	75	60	90	93.85	68.93	125	130	71.67	100	88.95
2011	80	75	68.75	100	93.85	70	166.67	180	85	100	101.93
2012	90	75	80	200	100	70.36	191.61	200	110	100	121.7
2013	90	75	100	146.25	100	100	225	200	135	100	127.13
2014	90	75	100	175	100	100	220.83	200	166.67	100	132.75
2015	125	75	100	175	100	100	266.67	200	166.67	100	140.83
2016	125	75	100	175	100	100	266.67	200	166.67	100	140.83
2017 P	125	75	100	175	100	100	266.67	200	166.67	100	140.83
table	DOCTOR CONSULTING FEE IN VARIOUS CITIES	DOCTOR CONSULTING FEE IN VARIOUS CITIES	DOCTOR CONSULTING FEE IN VARIOUS CITIES	DOCTOR CONSULTING FEE IN VARIOUS CITIES	DOCTOR CONSULTING FEE IN VARIOUS CITIES	DOCTOR CONSULTING FEE IN VARIOUS CITIES	DOCTOR CONSULTING FEE IN VARIOUS CITIES	DOCTOR CONSULTING FEE IN VARIOUS CITIES	DOCTOR CONSULTING FEE IN VARIOUS CITIES	DOCTOR CONSULTING FEE IN VARIOUS CITIES	DOCTOR CONSULTING FEE IN VARIOUS CITIES
