,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2017 (P),table
Hospitals,876.0,907.0,906.0,906.0,916.0,919.0,924.0,945.0,948.0,968.0,972.0,980.0,1092.0,1113.0,1143.0,1172.0,1205.0,,1211.0,"NATIONAL MEDICAL AND HEALTH ESTABLISHMENTS, Progressive"
Dispensaries,4635.0,4625.0,4590.0,4554.0,4582.0,4632.0,4712.0,4755.0,4794.0,4813.0,4842.0,5039.0,5176.0,5413.0,5548.0,5695.0,5797.0,,5697.0,"NATIONAL MEDICAL AND HEALTH ESTABLISHMENTS, Progressive"
Bhus sub health centres,5171.0,5230.0,5308.0,5290.0,5301.0,5334.0,5336.0,5349.0,5310.0,5345.0,5344.0,5449.0,5478.0,5571.0,5438.0,5478.0,5473.0,,5508.0,"NATIONAL MEDICAL AND HEALTH ESTABLISHMENTS, Progressive"
Maternity & child health centres,856.0,879.0,862.0,907.0,906.0,907.0,906.0,903.0,908.0,906.0,909.0,851.0,628.0,687.0,670.0,733.0,734.0,,738.0,"NATIONAL MEDICAL AND HEALTH ESTABLISHMENTS, Progressive"
Rural health centres,531.0,541.0,550.0,552.0,552.0,556.0,560.0,562.0,561.0,572.0,577.0,579.0,640.0,667.0,669.0,684.0,668.0,,676.0,"NATIONAL MEDICAL AND HEALTH ESTABLISHMENTS, Progressive"
Tb centres,274.0,272.0,285.0,289.0,289.0,289.0,288.0,290.0,293.0,293.0,304.0,345.0,326.0,329.0,334.0,339.0,342.0,,431.0,"NATIONAL MEDICAL AND HEALTH ESTABLISHMENTS, Progressive"
Total beds,93907.0,97945.0,98264.0,98684.0,99908.0,101490.0,102073.0,103285.0,103037.0,103708.0,104137.0,107537.0,111802.0,118378.0,118170.0,119548.0,122769.0,,126019.0,"NATIONAL MEDICAL AND HEALTH ESTABLISHMENTS, Progressive"
Population per bed,1456.0,1427.0,1454.0,1479.0,1492.0,1483.0,1508.0,1544.0,1575.0,1592.0,1701.0,1647.0,1616.0,1557.0,1591.0,1604.0,1592.0,,1580.0,"NATIONAL MEDICAL AND HEALTH ESTABLISHMENTS, Progressive"
Registered doctors,92838.0,97260.0,102644.0,108164.0,113309.0,118113.0,123146.0,128042.0,133925.0,139488.0,144901.0,152368.0,160880.0,167759.0,175223.0,184711.0,195896.0,,208007.0,REGISTERED MEDICAL AND PARAMEDICAL PERSONNEL (Progressive) AND EXPENDITURE ON HEALTH 
Registered dentists,4165.0,4612.0,5058.0,5531.0,6128.0,6734.0,7438.0,8215.0,9012.0,9822.0,10508.0,11649.0,12692.0,13716.0,15106.0,16652.0,18333.0,,20463.0,REGISTERED MEDICAL AND PARAMEDICAL PERSONNEL (Progressive) AND EXPENDITURE ON HEALTH 
Registered nurses,37528.0,40019.0,44520.0,46331.0,48446.0,51270.0,57646.0,62651.0,65387.0,69313.0,73244.0,77683.0,82119.0,86183.0,90276.0,94766.0,99228.0,,103777.0,REGISTERED MEDICAL AND PARAMEDICAL PERSONNEL (Progressive) AND EXPENDITURE ON HEALTH 
Registered mid-wives,22525.0,22711.0,23084.0,23318.0,23559.0,23897.0,24692.0,25261.0,25534.0,26225.0,27153.0,30722.0,31503.0,32677.0,33687.0,34668.0,36326.0,,38060.0,REGISTERED MEDICAL AND PARAMEDICAL PERSONNEL (Progressive) AND EXPENDITURE ON HEALTH 
Registered lady health visitors,5443.0,5669.0,6397.0,6599.0,6741.0,7073.0,8405.0,9302.0,10002.0,10731.0,11510.0,12621.0,13678.0,14388.0,15325.0,16448.0,17384.0,,18400.0,REGISTERED MEDICAL AND PARAMEDICAL PERSONNEL (Progressive) AND EXPENDITURE ON HEALTH 
population per doctor,1529.0,1516.0,1466.0,1404.0,1359.0,1310.0,1254.0,1245.0,1212.0,1184.0,1222.0,1162.0,1123.0,1099.0,1073.0,1038.0,997.0,,957.0,REGISTERED MEDICAL AND PARAMEDICAL PERSONNEL (Progressive) AND EXPENDITURE ON HEALTH 
population per dentist,33629.0,31579.0,29405.0,27414.0,25107.0,25297.0,20839.0,19417.0,18010.0,16814.0,16854.0,15203.0,14238.0,13441.0,12447.0,11513.0,10658.0,,9730.0,REGISTERED MEDICAL AND PARAMEDICAL PERSONNEL (Progressive) AND EXPENDITURE ON HEALTH 
expenditure development,5944.0,6688.0,6609.0,8500.0,11000.0,16000.0,20000.0,27228.0,32700.0,37860.0,18706.0,26250.0,33471.0,58736.0,69134.0,78071.0,101726.0,,40662.0,REGISTERED MEDICAL AND PARAMEDICAL PERSONNEL (Progressive) AND EXPENDITURE ON HEALTH 
(mln. rs) non-development,18337.0,18717.0,22205.0,24305.0,27000.0,24000.0,30000.0,32670.0,41100.0,41000.0,23382.0,28870.0,92486.0,114680.0,130188.0,147260.0,190170.0,,126499.0,REGISTERED MEDICAL AND PARAMEDICAL PERSONNEL (Progressive) AND EXPENDITURE ON HEALTH 
Faisalabad,40.0,40.0,40.0,40.0,41.25,41.25,41.25,43.75,75.0,75.0,75.0,80.0,90.0,90.0,90.0,125.0,125.0,,125.0,DOCTOR CONSULTING FEE IN VARIOUS CITIES
Gujranwala,40.0,40.0,50.0,50.0,50.0,50.0,50.0,50.0,65.0,65.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,75.0,DOCTOR CONSULTING FEE IN VARIOUS CITIES
Hyderabad,33.75,33.75,30.0,31.25,33.0,33.75,33.75,50.0,50.0,50.0,60.0,68.75,80.0,100.0,100.0,100.0,100.0,,100.0,DOCTOR CONSULTING FEE IN VARIOUS CITIES
