Fiscal Year	Total	High Type	Low Type
2000-01	249972	144652	105320
2001-02	251661	148877	102784
2002-03	252168	153225	98943
2003-04	256070	158543	97527
2004-05	258214	162841	95373
2005-06	259021	167530	91491
2006-07	259197	172827	86370
2007-08	259038	175000	84038
2008-09	260200	177060	83140
2009-10	260040	180190	79850
2010-11	259463	180866	78597
2011-12	261595	181940	79655
2012-13	263415	182900	80515
2013-14	263755	184120	79635
2014-15	265404	188430	76974
2015-16	265905	190355	75550
2016-17 P	267002	193871	73131
2017-18 P	268935	197452	71483
table	LENGTH OF ROADS	LENGTH OF ROADS	LENGTH OF ROADS
