Fiscal Year    	Motor Cycle/Rickshaw   	Cars & Jeeps   	L.C.Vs    	Buses    	Trucks    	Tractors    
2000-01	117858	39573	6960	1332	948	32556
2001-02	133334	41171	8491	1099	1141	24331
2002-03	176591	63267	12174	1340	1950	26501
2003-04	327446	100070	14089	1380	2022	36103
2004-05	571145	128381	23613	1762	3204	43746
2005-06	751667	163114	29581	825	4518	49439
2006-07	839224	179314	19672	993	4410	54610
2007-08	1057751	166300	21354	1146	4993	53607
2008-09	917628	85240	16158	657	3135	60107
2009-10	1389047	122819	15568	628	3425	71730
2010-11	1638457	134855	19142	490	2810	70855
2011-12	1649532	154706	20929	568	2597	48152
2012-13	1675071	121807	14517	522	1923	50871
2013-14	1728137	117498	17477	559	2674	34524
2014-15	1777251	153633	28189	575	4039	48883
2015-16	2071123	180717	35836	1070	5666	34914
2016-17	2500650	190466	24265	1118	7712	35975
2017-18 Jul-Feb	1865434	154732	19907	487	6081	45576
table	MOTOR VEHICLES-PRODUCTION	MOTOR VEHICLES-PRODUCTION	MOTOR VEHICLES-PRODUCTION	MOTOR VEHICLES-PRODUCTION	MOTOR VEHICLES-PRODUCTION	MOTOR VEHICLES-PRODUCTION

