Fiscal Year   	Bicycle    	Motorised Cycles   	Motor Cycles   	Motor Rickshaw   	Rickshaw chassis with Engine 	Cars    	Passengers M. Cars (NES)  	Car Chassis with Engine 	Pickup    	Jeeps    	Station Wagon   	Delivery Van   	Lorries Trucks Ambulance  	Passenger Vehicles Public  	Special Lorries Trucks & Vans 	Bus etc. Chassis   	Buses, Trolly Buses  	Motor Vehicles for Goods  	Spl. Truck etc. Chassis  	Road Tractors for Trailers 	Tractor Agricul- tural  	Tractor Cater- pillar  	Tractor Heavy Duty for const.  	Tractor Roads   	Tractor (NES)   	Electric Vehicles   	Electric Bikes   	Sport Utility Vehicle  	3-Wheel Loader   
2004-05	61187	4143	189721	3	144	66338	244	‐	5394	5409	37	178	2616	1519	1544	18	411	269	‐	117	6543	232	563	1646	2167		‐	‐	‐
2005-06	52022	9472	167626	15	315	36563	1587	‐	23303	2108	284	2586	13463	5228	551	7	2104	3844	38	498	20769	12	632	2284	3378		‐	‐	‐
2006-07	28509	12467	164078	1727	421	202785	1174	6	21898	1938	2817	1583	16610	2123	573	24	652	297	48	997	30588	1	845	904	7213		‐	‐	‐
2007-08	38249	18512	209098	1029	187	540025	690	‐	8169	210	345	311	4331	836	875	314	217	22	335	2409	8914	1	744	1892	19623		‐	‐	‐
2008-09	42966	20726	200745	125	6	425721	557	20	1871	14	28	37	2405	363	1203	1017	232	2	9	2149	2636	‐	402	434	14205		‐	‐	‐
2009-10	99349	33596	175577	10816	84	750888	176	1	21096	27	109	2	12819	364	5325	671	285	‐	12	2154	12052	‐	245	165	6189		‐	‐	‐
2010-11	184023	103694	216080	14746	‐	675810	344	163	35462	27	29	4	24728	225	3371	1553	861	5	233	1345	905	‐	148	144	12208		‐	‐	‐
2011-12	199876	29645	246332	51142	‐	874386	137	2	63786	35	73	1	11942	441	563	1828	1555	2	16	1598	3684	‐	68	0	12930		‐	‐	‐
2012-13	211535	36839	275931	19043	‐	671531	923	‐	35101	29	42	735	31027	16947	2832	1586	668	‐	9	1252	1988	‐	131	225	18773		‐	‐	‐
2013-14	260532	42840	213466	32745	‐	778073	54	‐	29459	14	8	2732	23946	1282	1406	3997	425	7	17	1309	2088	‐	347	157	16796	13	15	1	‐
2014-15	386981	58270	291882	97591	‐	1854622	10	2	65751	21	18	5477	33489	2810	927	4818	847	‐	3063	9991	3086	‐	476	434	28743	13	104	14	100
2015-16	541381	102593	327001	44911	1	1384775	5	‐	69146	13	126	8707	47645	3036	1398	9136	1234	1	3267	4442	1843	4	369	675	30464	25	64	10	10202
2016-17	780275	106174	323180	30810	314	1293707	6	‐	90659	3	4	10552	49710	2652	1929	21299	736	10	26826	4343	4831	‐	646	737	51864	12	59	42	3459
2017-18 P (Jul-Jan)	686087	75926	216870	19464	-	976374	-	-	60209	5	2	8417	25811	3167	604	12067	439	-	25	1515	-	32	430	584	47617	-	-	-	-
table	MOTOR VEHICLES-IMPORTS	MOTOR VEHICLES-IMPORTS	MOTOR VEHICLES-IMPORTS	MOTOR VEHICLES-IMPORTS	MOTOR VEHICLES-IMPORTS	MOTOR VEHICLES-IMPORTS	MOTOR VEHICLES-IMPORTS	MOTOR VEHICLES-IMPORTS	MOTOR VEHICLES-IMPORTS	MOTOR VEHICLES-IMPORTS	MOTOR VEHICLES-IMPORTS	MOTOR VEHICLES-IMPORTS	MOTOR VEHICLES-IMPORTS	MOTOR VEHICLES-IMPORTS	MOTOR VEHICLES-IMPORTS	MOTOR VEHICLES-IMPORTS	MOTOR VEHICLES-IMPORTS	MOTOR VEHICLES-IMPORTS	MOTOR VEHICLES-IMPORTS	MOTOR VEHICLES-IMPORTS	MOTOR VEHICLES-IMPORTS	MOTOR VEHICLES-IMPORTS	MOTOR VEHICLES-IMPORTS	MOTOR VEHICLES-IMPORTS	MOTOR VEHICLES-IMPORTS	MOTOR VEHICLES-IMPORTS	MOTOR VEHICLES-IMPORTS	MOTOR VEHICLES-IMPORTS	MOTOR VEHICLES-IMPORTS
