Fiscal Year   	No. of Post Offices Urban  	No. of Post Offices Rural  	No. of Post Offices Total  	Telephones (000 Nos.)   	Broad Band Subscribers (000 Nos.)  	Mobile Phones (000 Nos.)  
2000-01	2302	9932	12233	3340	-	742.6
2001-02	1983	10284	12267	3656	-	1698.5
2002-03	1808	10446	12254	4940	-	2404.4
2003-04	2267	9840	12107	4460	-	5022.9
2004-05	1831	10499	12330	5191	-	12771.2
2005-06	1845	10494	12339	5128	26.6	34506.6
2006-07	1849	10494	12343	4806	45.2	63160.9
2007-08	1849	10493	12342	4546	168	88019.8
2008-09	1852	10514	12366	3523	413.8	94342
2009-10	1580	10455	12035	3417	688.4	99185.8
2010-11	1580	10455	12035	5720	1491.5	108894.5
2011-12	1797	10238	12035	5803	2101.3	120151.2
2012-13	2178	10650	12828	6371	2723.7	128933.6
2013-14	1813	10264	12077	5232	3795.9	139974.8
2014-15	1813	10264	12077	3931	16885.5	114658.4
2015-16	1782	9962	11744	3295	40148	133241.5
2016-17	2046	9450	11496	2986	44586.7	139758.1
2017-18 (July-Dec)	2046	9450	11496	2759	45376.1	144525.6
table	POST AND TELECOMMUNICATIONS	POST AND TELECOMMUNICATIONS	POST AND TELECOMMUNICATIONS	POST AND TELECOMMUNICATIONS	POST AND TELECOMMUNICATIONS	POST AND TELECOMMUNICATIONS

