Fiscal Year   	Locomotives (Nos.)  	Freight Wagons (Nos.)  	Route (Kms.)   	Number of Passengers carried (Million) 	Freight carried (Million Tonnes) 	Freight Tonne (Million Kms.) 	Gross Earnings (Rs. Million)   
2000-01	610	23893	7791	68.8	5.89	4520	11938
2001-02	577	23460	7791	69	5.9	4573	13346
2002-03	577	23722	7791	72.4	6.18	4830	14810
2003-04	592	21812	7791	75.7	6.14	5336	14635
2004-05	557	21556	7791	78.18	6.41	5532	18027
2005-06	544	20809	7791	81.43	6.03	5916	18184
2006-07	544	19638	7791	83.89	6.42	5453	19195
2007-08	555	18638	7791	79.99	7.23	6178	19973
2008-09	551	17259	7791	82.54	6.94	5896	23160
2009-10	528	16499	7791	74.93	5.83	4847	21886
2010-11	528	18468	7791	64.9	2.61	1757	18740
2011-12	522	17611	7791	41.9	1.3	403	15444
2012-13	493	16635	7791	42	1	419	18071
2013-14	421	16179	7791	48	1	1090	22800
2014-15	458	15452	7791	52.9	3.6	3301	31924
2015-16	460	15164	7791	52.19	5	4774	36582
2016-17	455	16085	7791	52.39	5.63	5031	40065
2017-18 Jul-Dec (P)	481	16436	7791	27.89	3.77	3501	23506
table	RAILWAYS	RAILWAYS	RAILWAYS	RAILWAYS	RAILWAYS	RAILWAYS	RAILWAYS

