Fiscal Year   	No. of Vessels   	Dead Wt. Tonnes   	Gross Earnings (Rs. Million)   
2000-01	14	243802	5458.7
2001-02	14	243749	4555.5
2002-03	13	229579	5405
2003-04	14	469931	6881.9
2004-05	14	570466	7860
2005-06	15	636182	7924.6
2006-07	14	636821	9089.1
2007-08	14	636821	10753.5
2008-09	14	477238	11474
2009-10	10	633273	8738.8
2010-11	11	646666	9293
2011-12	9	610167	8875.3
2012-13	9	642207	12252.9
2013-14	9	642207	15726.5
2014-15	9	681806	15536.3
2015-16	9	681806	12543
2016-17	9	681806	12477
2017-18 (July-Dec)	9	681806	13469.1
table	PAKISTAN NATIONAL SHIPPING CORPORATION (PNSC)	PAKISTAN NATIONAL SHIPPING CORPORATION (PNSC)	PAKISTAN NATIONAL SHIPPING CORPORATION (PNSC)
