Fiscal Year   	Karachi Port (000 tonnes) Total   	Karachi Port (000 tonnes) Imports   	Karachi Port (000 tonnes) Exports   	Port Qasim (000 tonnes) Total   	Port Qasim (000 tonnes) Imports   	Port Qasim (000 tonnes) Exports   	Gwadar Port (000 tonnes) Imports   
2000-01	25981	20063	5918	13588	11841	1747	-
2001-02	26692	20330	6362	13317	10932	2385	-
2002-03	25852	19609	6244	15109	11980	3129	-
2003-04	27813	21732	6081	14123	11264	2859	-
2004-05	28615	22100	6515	19437	16006	3431	-
2005-06	32270	25573	6697	21573	17588	3985	-
2006-07	30846	23329	7517	24350	19511	4839	-
2007-08	37192	25517	11675	26424	21607	4817	63.6
2008-09	38732	25367	13364	25030	19443	5286	1496.5
2009-10	41420	27892	13528	25606	19226	6380	1261.8
2010-11	41431	28589	12842	26168	19511	6657	476
2011-12	37875	26201	11674	24025	18075	5950	1426
2012-13	38850	26700	21150	24801	17754	7047	507.6
2013-14	41350	30343	11007	25725	18076	7699	649
2014-15	43422	29672	13750	30114	21607	8405	438.9
2015-16	50045	34594	15451	33321	25857	7464	50.6
2016-17	52493	42638	9855	37358	30995	6363	80.4
2017-18 Jul-Feb (P)	27198	31673	5525	28660	24354	4306	23.8
table	PORTS-Cargo Handled	PORTS-Cargo Handled	PORTS-Cargo Handled	PORTS-Cargo Handled	PORTS-Cargo Handled	PORTS-Cargo Handled	PORTS-Cargo Handled

