Year    	PIA Fleet No. of Planes  	Available Seat (Million Kms.)  	Route Kms.   	Passenger Load Factor % 	Available Tonne (Million Kms.)  	Operating Expenses (Million Rs.) 
2000	45	18692	317213	65	2631	42033
2001	45	17756	265643	66	2541	43242
2002	44	15776	257858	68	2242	38097
2003	43	17259	290129	70	2476	42574
2004	42	20354	354664	66	2973	55872
2005	42	20816	343525	70	3103	67075
2006	42	22092	446570	69	3369	79164
2007	39	20313	383574	67	3126	76415
2008	44	18528	311131	71	2934	120499
2009	42	19859	380917	70	2933	98629
2010	40	21219	424570	74	3091	106811
2011	40	21726	460719	72	2972	135023
2012	38	19850	448120	70	2859	133930
2013	38	17412	411936	70	2471	129588
2014	34	16537	389455	72	2396	114944
2015	34	16666	367251	70	2436	108478
2016	37	19201	382057	72	2798	121863
2017	-	-	360937	73.2	-	-
table	PAKISTAN INTERNATIONAL AIRLINES CORPORATION-Operational	PAKISTAN INTERNATIONAL AIRLINES CORPORATION-Operational	PAKISTAN INTERNATIONAL AIRLINES CORPORATION-Operational	PAKISTAN INTERNATIONAL AIRLINES CORPORATION-Operational	PAKISTAN INTERNATIONAL AIRLINES CORPORATION-Operational	PAKISTAN INTERNATIONAL AIRLINES CORPORATION-Operational

