Year	Revenue Passengers (Million Kms.)  	Revenue Passengers Carried (000) 	Revenue Load Factor (%) 	Revenue Kilometers Flown (000) 	Revenue Tonne (Million Kms.)  	Revenue Hours Flown  	Operating Revenue (Million Rs.) 
2000	12056	5297	55	76212	1452	134066	39228
2001	11652	4877	57	70958	1438	121860	43608
2002	10780	4166	59	61921	1331	105553	43674
2003	12009	4556	59	68851	1448	115017	47951
2004	13520	5120	55	80087	1635	130977	57786
2005	14506	5499	56	82550	1729	134039	64074
2006	15124	5732	54	88302	1801	141479	70587
2007	13681	5415	51	80759	1593	132416	70481
2008	13925	5617	54	79580	1581	132378	88863
2009	13891	5535	52	80108	1525	132155	94564
2010	15657	5538	56	81588	1746	142940	107532
2011	15664	5953	56	84898	1678	141727	116551
2012	13874	5236	53	75750	1513	127268	112130
2013	12237	4449	55	63144	1351	106476	95771
2014	11903	4202	52	61389	1242	101556	99519
2015	11711	4394	49	67630	1191	111455	91269
2016	13751	5486	49	79842	1375	131838	88998
2017	-	5342	55.2	75207	-	122081	-
table	PAKISTAN INTERNATIONAL AIRLINES CORPORATION-Revenue	PAKISTAN INTERNATIONAL AIRLINES CORPORATION-Revenue	PAKISTAN INTERNATIONAL AIRLINES CORPORATION-Revenue	PAKISTAN INTERNATIONAL AIRLINES CORPORATION-Revenue	PAKISTAN INTERNATIONAL AIRLINES CORPORATION-Revenue	PAKISTAN INTERNATIONAL AIRLINES CORPORATION-Revenue	PAKISTAN INTERNATIONAL AIRLINES CORPORATION-Revenue

