Year   	Motor Cycle (2 Wheels)  	Motor Cycle (3 Wheels)  	Motor Cars Jeeps & Station Wagons  	Motor Cabs/ Taxis  	Buses    	Trucks    	Others    	Total    
2006	2757842	136394	1372191	105373	175589	189950	896014	5633353
2007	2895734	143215	1440801	103397	184368	199447	940851	5907813
2008	3039815	156068	1549854	104431	187367	202574	961646	6201755
2009	3215583	167910	1657860	106463	195163	210944	1005441	6559364
2010	4305121	201827	1726347	122882	198790	216119	1081916	7853002
2011	5781953	266390	1881560	124651	202476	225075	1178890	9660995
2012	7500182	323189	2094289	143859	215374	240888	1270788	11788569
2013 R	9169528	380579	2281083	145234	220347	247197	1340963	13784931
2014 R	11006421	466185	2437735	145424	224403	253574	1406819	15940561
2015 P	12571554	545919	2580922	164045	228959	262288	1772361	17826048
2016 P	14501024	646939	2776588	167067	232181	266763	1536388	20126950
2017 P	15664098	698059	2889500	167086	233884	272934	1581080	21506641
table	NUMBER OF MOTOR VEHICLES REGISTERED	NUMBER OF MOTOR VEHICLES REGISTERED	NUMBER OF MOTOR VEHICLES REGISTERED	NUMBER OF MOTOR VEHICLES REGISTERED	NUMBER OF MOTOR VEHICLES REGISTERED	NUMBER OF MOTOR VEHICLES REGISTERED	NUMBER OF MOTOR VEHICLES REGISTERED	NUMBER OF MOTOR VEHICLES REGISTERED
