Fiscal Year   	 Mcy/ Scooter  	Motor Car   	M. Cab/ Taxi   	Motor Rickshaw   	D.Van    	Pickup    	Jeep    	Station Wagon   
2000-01	2218.9	928	79.8	72.4	72.4	68.4	18.3	93.8
2001-02	2481.1	1040	96.4	80.8	116.9	78.3	43.4	122.7
2002-03	2656.2	1110	104.1	80.9	120.3	80.6	44.4	126.4
2003-04	2882.5	1193.1	112.6	81	121.3	84.4	47.8	132.4
2004-05	3063	1264.7	120.3	81.3	121.9	87.6	51.8	140.5
2005-06	3791	1999.2	122.1	77.8	143.3	93.5	65.7	140.8
2006-07	4463.8	1682.2	119.1	79	148.9	104.5	85.4	169.1
2007-08	5037	1853.5	129.8	89.3	163.5	115.3	82.9	163.2
2008-09	5368	2029.1	138.6	88.4	167.2	125.5	79	155.6
2009-10	5412.1	2387.2	146.4	89.1	170.4	130.3	78.3	171.4
2010-11	5468.8	2822.2	154.6	89.8	173.6	135.3	78.5	175.2
2011-12	4463.6	3205	158.7	102.4	176.6	141.3	78.6	178.3
2012-13	5550	3600	160.7	120.5	180	150.2	78.7	180.1
2013-14	6100	4600	168.8	108	181	150	60	185
2014-15	6405	4820	178	112	190	158	64	191
2015-16	6669.3	6131.7	186.5	118.1	191.4	166.3	54.2	192
2016-17 P	7177	6954	197.4	122.1	204.2	176.4	58.3	201.9
2017-18 P	7723.4	7887.1	208.8	126.1	217.9	187.2	62.6	211.2
table	MOTOR VEHICLES ON ROAD-LCV	MOTOR VEHICLES ON ROAD-LCV	MOTOR VEHICLES ON ROAD-LCV	MOTOR VEHICLES ON ROAD-LCV	MOTOR VEHICLES ON ROAD-LCV	MOTOR VEHICLES ON ROAD-LCV	MOTOR VEHICLES ON ROAD-LCV	MOTOR VEHICLES ON ROAD-LCV
