Fiscal Year    	Ambulance   	Buses    	Trucks    	Tractor    	Tankers (Oil & Water)   	Others    	Total    
2000-01	1.7	86.6	132.3	579.4	8	89	4471
2001-02	4.1	96.6	145.2	630.5	8.4	71.5	5016
2002-03	4.3	98.3	146.7	663.2	8.4	71.4	5315
2003-04	4.4	100.4	149.2	722.7	8.6	71.3	5711.9
2004-05	4.5	102.4	151.8	778.1	8.5	69.4	6048.3
2005-06	4.5	103.6	151.8	822.3	8.6	60.2	7084.5
2006-07	4.6	108.4	173.3	877.8	8.8	38.6	8063.6
2007-08	5.2	109.9	177.8	900.5	9.8	40.7	8878.4
2008-09	5.6	111.1	181.9	911.7	10.8	41.3	9413.7
2009-10	4	123.3	200.5	940.8	11.1	21.8	9886.4
2010-11	4.5	125.6	209.5	970.9	11.4	24	10443.8
2011-12	5	138.2	230.5	1068	12.5	26.4	11488.2
2012-13	3.7	130.2	220.5	1128.7	12.3	60.5	11576.1
2013-14	4	140	240	1228	12.6	65	13242.4
2014-15	4	148	252	1283	12.6	68	13885.6
2015-16	3.8	150.6	263.8	1351.6	14	75.5	15568.8
2016-17 P	4	156.3	276.2	1430.1	14.5	74.7	17046.7
2017-18 P	4.2	162.1	289.2	1513.2	15.1	73.9	18682
table	MOTOR VEHICLES ON ROAD-HCV	MOTOR VEHICLES ON ROAD-HCV	MOTOR VEHICLES ON ROAD-HCV	MOTOR VEHICLES ON ROAD-HCV	MOTOR VEHICLES ON ROAD-HCV	MOTOR VEHICLES ON ROAD-HCV	MOTOR VEHICLES ON ROAD-HCV
