,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2016-17 P,2017-18 (July-Dec),2017-18 Jul-Dec (P),2017-18 Jul-Feb,2017-18 Jul-Feb (P),2017-18 P,2017-18 P (Jul-Jan),table
Total,249972,251661,252168,256070,258214,259021,259197,259038,260200,260040,259463,261595,263415,263755,265404,265905,,267002,,,,,268935,,LENGTH OF ROADS
High type,144652,148877,153225,158543,162841,167530,172827,175000,177060,180190,180866,181940,182900,184120,188430,190355,,193871,,,,,197452,,LENGTH OF ROADS
Low type,105320,102784,98943,97527,95373,91491,86370,84038,83140,79850,78597,79655,80515,79635,76974,75550,,73131,,,,,71483,,LENGTH OF ROADS
Locomotives (nos.),610,577,577,592,557,544,544,555,551,528,528,522,493,421,458,460,455,,,481,,,,,RAILWAYS
Freight wagons (nos.),23893,23460,23722,21812,21556,20809,19638,18638,17259,16499,18468,17611,16635,16179,15452,15164,16085,,,16436,,,,,RAILWAYS
Route (kms.),7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,,,7791,,,,,RAILWAYS
Number of passengers carried (million),68.8,69,72.4,75.7,78.18,81.43,83.89,79.99,82.54,74.93,64.9,41.9,42,48,52.9,52.19,52.39,,,27.89,,,,,RAILWAYS
Freight carried (million tonnes),5.89,5.9,6.18,6.14,6.41,6.03,6.42,7.23,6.94,5.83,2.61,1.3,1,1,3.6,5,5.63,,,3.77,,,,,RAILWAYS
Freight tonne (million kms.),4520,4573,4830,5336,5532,5916,5453,6178,5896,4847,1757,403,419,1090,3301,4774,5031,,,3501,,,,,RAILWAYS
Gross earnings (rs. million),11938,13346,14810,14635,18027,18184,19195,19973,23160,21886,18740,15444,18071,22800,31924,36582,40065,,,23506,,,,,RAILWAYS
No. of vessels,14,14,13,14,14,15,14,14,14,10,11,9,9,9,9,9,9,,9,,,,,,PAKISTAN NATIONAL SHIPPING CORPORATION (PNSC)
Dead wt. tonnes,243802,243749,229579,469931,570466,636182,636821,636821,477238,633273,646666,610167,642207,642207,681806,681806,681806,,681806,,,,,,PAKISTAN NATIONAL SHIPPING CORPORATION (PNSC)
Gross earnings (rs. million),5458.7,4555.5,5405,6881.9,7860,7924.6,9089.1,10753.5,11474,8738.8,9293,8875.3,12252.9,15726.5,15536.3,12543,12477,,13469.1,,,,,,PAKISTAN NATIONAL SHIPPING CORPORATION (PNSC)
Karachi port (000 tonnes) total,25981,26692,25852,27813,28615,32270,30846,37192,38732,41420,41431,37875,38850,41350,43422,50045,52493,,,,,27198,,,PORTS-Cargo Handled
Karachi port (000 tonnes) imports,20063,20330,19609,21732,22100,25573,23329,25517,25367,27892,28589,26201,26700,30343,29672,34594,42638,,,,,31673,,,PORTS-Cargo Handled
