,table,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2016-17P,2017-18,2017-18P
Milk,LIVESTOCK PRODUCTS,26284.0,27031.0,27811.0,28624.0,29438.0,31970.0,32996.0,34064.0,35160.0,36299.0,37475.0,38617.0,39855.0,41133.0,42454.0,43818.0,45227.0,,,46682.0
Beef,LIVESTOCK PRODUCTS,1010.0,1034.0,1060.0,1087.0,1115.0,1449.0,1498.0,1549.0,1601.0,1655.0,1711.0,1769.0,1829.0,1887.0,1951.0,2017.0,2085.0,,,2155.0
Mutton,LIVESTOCK PRODUCTS,666.0,683.0,702.0,720.0,739.0,554.0,566.0,578.0,590.0,603.0,616.0,629.0,643.0,657.0,671.0,686.0,701.0,,,717.0
Poultry meat,LIVESTOCK PRODUCTS,339.0,355.0,370.0,378.0,384.0,512.0,554.0,601.0,652.0,707.0,767.0,834.0,907.0,987.0,1074.0,1170.0,1276.0,,,1391.0
Wool,LIVESTOCK PRODUCTS,39.2,39.4,39.7,39.9,40.0,40.1,40.6,41.0,41.5,42.0,42.5,43.0,43.6,44.1,44.6,45.1,45.7,,,46.2
Hair,LIVESTOCK PRODUCTS,18.6,19.3,19.9,20.7,20.7,20.3,20.8,21.4,22.0,22.6,23.2,23.8,24.4,25.1,25.8,26.5,27.2,,,27.9
Bones,LIVESTOCK PRODUCTS,331.4,339.4,347.6,356.2,365.1,633.5,652.5,672.2,692.4,713.4,735.1,757.5,780.5,802.9,827.2,852.3,878.2,,,904.9
Fats,LIVESTOCK PRODUCTS,123.5,126.5,129.7,132.9,136.3,203.3,209.2,215.3,221.6,228.1,234.8,241.7,248.8,255.8,263.3,271.0,279.0,,,287.3
Blood,LIVESTOCK PRODUCTS,41.8,42.9,44.0,45.2,45.2,51.4,52.7,54.1,55.4,56.8,58.3,59.8,61.3,62.8,64.4,66.1,67.8,,,69.5
Eggs (mln.nos.),LIVESTOCK PRODUCTS,7505.0,7679.0,7860.0,8102.0,8529.0,9712.0,10197.0,10711.0,11258.0,11839.0,12857.0,13114.0,13813.0,14556.0,15346.0,16188.0,17083.0,,,18037.0
Skins (mln.nos.),LIVESTOCK PRODUCTS,7.8,7.9,8.2,8.4,8.6,11.4,11.8,12.2,12.6,13.0,13.5,13.9,14.4,14.9,15.4,15.9,16.4,,,17.0
Hides (mln.nos.),LIVESTOCK PRODUCTS,38.2,39.2,40.3,42.4,42.6,43.3,44.3,45.3,46.3,47.4,48.5,49.6,50.7,51.9,53.1,54.3,55.5,,,56.8
buffalo,LIVESTOCK POPULATION,23.3,24.0,24.8,25.5,26.3,27.3,28.2,29.0,29.9,30.8,31.7,32.7,33.7,34.6,35.6,36.6,37.7,,38.8,
cattle,LIVESTOCK POPULATION,22.4,22.8,23.3,23.8,24.2,29.6,30.7,31.8,33.0,34.3,35.6,36.9,38.3,39.7,41.2,42.8,44.4,,46.1,
goat,LIVESTOCK POPULATION,49.1,50.9,52.8,54.7,56.7,53.8,55.2,56.7,58.3,59.9,61.5,63.1,64.9,66.6,68.4,70.3,72.2,,74.1,
sheep,LIVESTOCK POPULATION,24.2,24.4,24.6,24.7,24.9,26.5,26.8,27.1,27.4,27.8,28.1,28.4,28.8,29.1,29.4,29.8,30.1,,30.5,
poultry,LIVESTOCK POPULATION,292.4,330.0,346.1,352.6,372.0,433.8,477.0,518.0,562.0,610.0,663.0,721.0,785.0,855.0,932.0,1016.0,1108.0,,1210.0,
camels,LIVESTOCK POPULATION,0.8,0.8,0.8,0.7,0.7,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,,1.1,
asses,LIVESTOCK POPULATION,3.9,3.9,4.1,4.1,4.2,4.3,4.3,4.4,4.5,4.6,4.7,4.8,4.9,4.9,5.0,5.1,5.2,,5.3,
horses,LIVESTOCK POPULATION,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,0.4,
mules,LIVESTOCK POPULATION,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,0.2,
procurement,"PROCUREMENT, RELEASES AND STOCKS OF WHEAT",8582.0,4081.0,4045.0,3514.0,3939.0,4514.0,4422.0,3918.0,9200.0,6715.0,6150.0,5792.0,7910.0,5948.0,6139.0,5806.0,6516.0,,,
Releases,"PROCUREMENT, RELEASES AND STOCKS OF WHEAT",5537.0,3376.0,5130.0,4104.0,4500.0,2088.4,6003.0,6320.0,5784.4,5985.0,6404.0,5820.0,6363.0,6149.0,3380.0,4468.1,6516.0,,,
stocks as on 1st may,"PROCUREMENT, RELEASES AND STOCKS OF WHEAT",3552.0,3683.0,992.0,161.0,350.0,2107.4,501.0,136.0,821.9,4223.0,3186.0,3506.0,1681.0,7566.0,6447.0,6284.0,4531.0,,,
Wheat,PROCUREMENT/SUPPORT PRICES OF AGRICULTURAL COMMODITIES,300.0,300.0,300.0,350.0,400.0,415.0,425.0,625.0,950.0,950.0,950.0,1050.0,1200.0,1200.0,1300.0,1300.0,1300.0,,1300.0,
Rice basmati 385,PROCUREMENT/SUPPORT PRICES OF AGRICULTURAL COMMODITIES,300.0,300.0,300.0,350.0,400.0,415.0,425.0,625.0,2500.0,950.0,950.0,1050.0,1200.0,1200.0,1300.0,1300.0,1300.0,,1300.0,
Rice irri-6 (f.a.q),PROCUREMENT/SUPPORT PRICES OF AGRICULTURAL COMMODITIES,300.0,300.0,300.0,350.0,400.0,415.0,425.0,625.0,1400.0,950.0,950.0,1050.0,1200.0,1200.0,1300.0,1300.0,1300.0,,1300.0,
Paddy basmati 385,PROCUREMENT/SUPPORT PRICES OF AGRICULTURAL COMMODITIES,385.0,385.0,385.0,400.0,415.0,460.0,425.0,625.0,1250.0,1000.0,950.0,1050.0,1200.0,1200.0,1300.0,1300.0,1300.0,,1300.0,
Paddy basmati super 2000,PROCUREMENT/SUPPORT PRICES OF AGRICULTURAL COMMODITIES,460.0,460.0,460.0,485.0,510.0,560.0,425.0,625.0,1500.0,1250.0,950.0,1050.0,1200.0,1200.0,1300.0,1300.0,1300.0,,1300.0,
Paddy irri-6,PROCUREMENT/SUPPORT PRICES OF AGRICULTURAL COMMODITIES,205.0,205.0,205.0,215.0,230.0,300.0,306.0,625.0,700.0,600.0,950.0,1050.0,1200.0,1200.0,1300.0,1300.0,1300.0,,1300.0,
Sugarcane khyber pakhtunkhwa,PROCUREMENT/SUPPORT PRICES OF AGRICULTURAL COMMODITIES,35.0,42.0,42.0,42.0,42.0,48.0,65.0,65.0,80.0,100.0,125.0,150.0,170.0,170.0,180.0,180.0,180.0,,1300.0,
Sugarcane punjab,PROCUREMENT/SUPPORT PRICES OF AGRICULTURAL COMMODITIES,35.0,42.0,42.0,42.0,42.0,45.0,60.0,60.0,80.0,100.0,125.0,150.0,170.0,170.0,180.0,180.0,180.0,,180.0,
Sugarcane sindh,PROCUREMENT/SUPPORT PRICES OF AGRICULTURAL COMMODITIES,36.0,43.0,43.0,43.0,43.0,60.0,67.0,63.0,81.0,102.0,125.0,154.0,172.0,172.0,182.0,172.0,182.0,,182.0,
Sugarcane baloch- istan,PROCUREMENT/SUPPORT PRICES OF AGRICULTURAL COMMODITIES,36.0,43.0,43.0,43.0,43.0,60.0,67.0,63.0,81.0,102.0,125.0,154.0,172.0,172.0,182.0,172.0,182.0,,182.0,
Seed cotton (phutti) b-557 149-f,PROCUREMENT/SUPPORT PRICES OF AGRICULTURAL COMMODITIES,725.0,780.0,800.0,850.0,925.0,975.0,1025.0,1025.0,1465.0,102.0,125.0,154.0,172.0,172.0,3000.0,3000.0,182.0,,182.0,
Canals,AREA IRRIGATED BY DIFFERENT SOURCES,6.98,6.81,7.06,7.22,7.0,7.06,6.78,6.91,6.81,6.78,6.39,6.3,5.65,5.96,5.96,5.99,,5.95,,
Wells,AREA IRRIGATED BY DIFFERENT SOURCES,0.16,0.2,0.21,0.22,0.25,0.28,0.67,0.31,0.31,0.31,0.36,0.35,0.3,0.38,0.38,0.35,,0.1,,
Canal wells,AREA IRRIGATED BY DIFFERENT SOURCES,0.1,0.16,0.17,0.15,0.19,0.2,0.22,0.17,0.2,0.26,0.25,0.19,0.19,0.27,0.27,0.3,,0.3,,
Tubewells,AREA IRRIGATED BY DIFFERENT SOURCES,3.19,3.45,3.42,3.49,3.46,3.58,3.89,3.83,3.82,3.88,3.92,4.03,3.81,3.71,3.71,4.48,,4.43,,
Canal tubewells,AREA IRRIGATED BY DIFFERENT SOURCES,7.22,7.24,7.17,7.47,7.7,7.78,7.78,7.79,7.94,7.07,7.6,7.86,7.86,8.15,8.15,8.19,,7.89,,
Others,AREA IRRIGATED BY DIFFERENT SOURCES,0.17,0.18,0.2,0.21,0.24,0.22,0.25,0.28,0.24,0.28,0.72,0.72,0.19,0.17,0.17,0.26,,0.21,,
Total,AREA IRRIGATED BY DIFFERENT SOURCES,17.82,18.04,18.22,18.76,18.84,19.12,19.59,19.29,19.39,20.06,19.24,19.45,18.0,18.64,19.28,19.33,,20.95,,
Urea (46% n),AVERAGE RETAIL SALE PRICES OF FERTILIZERS,363.0,394.0,411.0,420.0,468.0,509.0,527.0,581.0,751.0,799.0,1035.0,1719.0,1799.0,1827.0,1883.0,1860.0,1378.0,,,1360.0
An/can (26% n),AVERAGE RETAIL SALE PRICES OF FERTILIZERS,233.0,268.0,282.0,208.0,353.0,395.0,396.0,471.0,704.0,701.0,843.0,1392.0,1443.0,1566.0,1606.0,1564.0,1198.0,,,1233.0
As (21% n),AVERAGE RETAIL SALE PRICES OF FERTILIZERS,300.0,308.0,344.0,373.0,405.0,744.0,779.0,867.0,1330.0,1223.0,1124.0,1392.0,1443.0,1566.0,1606.0,1564.0,1198.0,,,1233.0
Np (23:23),AVERAGE RETAIL SALE PRICES OF FERTILIZERS,468.0,519.0,539.0,622.0,704.0,710.0,670.0,1267.0,1700.0,1452.0,2108.0,2691.0,2524.0,2513.0,2584.0,2339.0,1869.0,,,2075.0
