Fiscal Year   	Urea (46% N)  	AN/CAN (26% N)  	AS (21% N)  	NP (23:23)  	SSP(G) (18%)  	DAP (18:46)  	SOP (50% K)  
2000-01	363	233	300	468	253	670	682
2001-02	394	268	308	519	280	710	765
2002-03	411	282	344	539	287	765	780
2003-04	420	208	373	622	329	913	809
2004-05	468	353	405	704	373	1001	996
2005-06	509	395	744	710	407	1079	1170
2006-07	527	396	779	670	334	993	985
2007-08	581	471	867	1267	572	1934	1497
2008-09	751	704	1330	1700	874	2578	2091
2009-10	799	701	1223	1452	726	2267	2370
2010-11	1035	843	1124	2108	896	3236	2807
2011-12	1719	1392	-	2691	1260	4054	3797
2012-13	1799	1443	-	2524	1172	3902	3945
2013-14	1827	1566	-	2513	1050	3640	4233
2014-15	1883	1606	-	2584	1012	3677	4904
2015-16	1860	1564	-	2339	973	3343	5131
2016-17	1378	1198	-	1869	886	2596	4100
2017-18P	1360	1233	-	2075	879	2794	3663
table	AVERAGE RETAIL SALE PRICES OF FERTILIZERS	AVERAGE RETAIL SALE PRICES OF FERTILIZERS	AVERAGE RETAIL SALE PRICES OF FERTILIZERS	AVERAGE RETAIL SALE PRICES OF FERTILIZERS	AVERAGE RETAIL SALE PRICES OF FERTILIZERS	AVERAGE RETAIL SALE PRICES OF FERTILIZERS	AVERAGE RETAIL SALE PRICES OF FERTILIZERS
