Fiscal Year   	Canals   	Wells   	Canal Wells  	Tubewells   	Canal Tubewells  	Others   	Total   
2000-01	6.98	0.16	0.1	3.19	7.22	0.17	17.82
2001-02	6.81	0.2	0.16	3.45	7.24	0.18	18.04
2002-03	7.06	0.21	0.17	3.42	7.17	0.2	18.22
2003-04	7.22	0.22	0.15	3.49	7.47	0.21	18.76
2004-05	7	0.25	0.19	3.46	7.7	0.24	18.84
2005-06	7.06	0.28	0.2	3.58	7.78	0.22	19.12
2006-07	6.78	0.67	0.22	3.89	7.78	0.25	19.59
2007-08	6.91	0.31	0.17	3.83	7.79	0.28	19.29
2008-09	6.81	0.31	0.2	3.82	7.94	0.24	19.39
2009-10	6.78	0.31	0.26	3.88	7.07	0.28	20.06
2010-11	6.39	0.36	0.25	3.92	7.6	0.72	19.24
2011-12	6.3	0.35	0.19	4.03	7.86	0.72	19.45
2012-13	5.65	0.3	0.19	3.81	7.86	0.19	18
2013-14	5.96	0.38	0.27	3.71	8.15	0.17	18.64
2014-15	5.96	0.38	0.27	3.71	8.15	0.17	19.28
2015-16	5.99	0.35	0.3	4.48	8.19	0.26	19.33
2016-17P	5.95	0.1	0.3	4.43	7.89	0.21	20.95
table	AREA IRRIGATED BY DIFFERENT SOURCES	AREA IRRIGATED BY DIFFERENT SOURCES	AREA IRRIGATED BY DIFFERENT SOURCES	AREA IRRIGATED BY DIFFERENT SOURCES	AREA IRRIGATED BY DIFFERENT SOURCES	AREA IRRIGATED BY DIFFERENT SOURCES	AREA IRRIGATED BY DIFFERENT SOURCES
