Fiscal Year 	Wheat	Rice Basmati 385 	Rice Irri-6 (F.A.Q) 	Paddy Basmati 385 	Paddy Basmati Super 2000 	Paddy Irri-6  	Sugarcane Khyber Pakhtunkhwa 	Sugarcane Punjab  	Sugarcane Sindh  	Sugarcane Baloch- istan 	Seed Cotton (Phutti) B-557 149-F
2000-01	300	-	-	385	460	205	35	35	36	36	725
2001-02	300	-	-	385	460	205	42	42	43	43	780
2002-03	300	-	-	385	460	205	42	42	43	43	800
2003-04	350	-	-	400	485	215	42	42	43	43	850
2004-05	400	-	-	415	510	230	42	42	43	43	925
2005-06	415	-	-	460	560	300	48	45	60	-	975
2006-07	425	-	-	-	-	306	65	60	67	-	1025
2007-08	625	-	-	-	-	-	65	60	63	-	1025
2008-09	950	2500	1400	1250	1500	700	80	80	81	-	1465
2009-10	950	-	-	1000	1250	600	100	100	102	-	-
2010-11	950	-	-	-	-	-	125	125	125	-	-
2011-12	1050	-	-	-	-	-	150	150	154	-	-
2012-13	1200	-	-	-	-	-	170	170	172	-	-
2013-14	1200	-	-	-	-	-	170	170	172	-	-
2014-15	1300	-	-	-	-	-	180	180	182	-	3000
2015-16	1300	-	-	-	-	-	180	180	172	-	3000
2016-17	1300	-	-	-	-	-	180	180	182	-	-
2017-18	1300	-	-	-	-	-	-	180	182	-	-
table	PROCUREMENT/SUPPORT PRICES OF AGRICULTURAL COMMODITIES	PROCUREMENT/SUPPORT PRICES OF AGRICULTURAL COMMODITIES	PROCUREMENT/SUPPORT PRICES OF AGRICULTURAL COMMODITIES	PROCUREMENT/SUPPORT PRICES OF AGRICULTURAL COMMODITIES	PROCUREMENT/SUPPORT PRICES OF AGRICULTURAL COMMODITIES	PROCUREMENT/SUPPORT PRICES OF AGRICULTURAL COMMODITIES	PROCUREMENT/SUPPORT PRICES OF AGRICULTURAL COMMODITIES	PROCUREMENT/SUPPORT PRICES OF AGRICULTURAL COMMODITIES	PROCUREMENT/SUPPORT PRICES OF AGRICULTURAL COMMODITIES	PROCUREMENT/SUPPORT PRICES OF AGRICULTURAL COMMODITIES	PROCUREMENT/SUPPORT PRICES OF AGRICULTURAL COMMODITIES
