Fiscal Year  	 Procurement  	Releases  	 Stocks As on 1st May 
2000-01	8582	5537	3552
2001-02	4081	3376	3683
2002-03	4045	5130	992
2003-04	3514	4104	161
2004-05	3939	4500	350
2005-06	4514	2088.4	2107.4
2006-07	4422	6003	501
2007-08	3918	6320	136
2008-09	9200	5784.4	821.9
2009-10	6715	5985	4223
2010-11	6150	6404	3186
2011-12	5792	5820	3506
2012-13	7910	6363	1681
2013-14	5948	6149	7566
2014-15	6139	3380	6447
2015-16	5806	4468.1	6284
2016-17	6516	-	4531
table	PROCUREMENT, RELEASES AND STOCKS OF WHEAT	PROCUREMENT, RELEASES AND STOCKS OF WHEAT	PROCUREMENT, RELEASES AND STOCKS OF WHEAT
