Fiscal Year 	 Buffalo  	 Cattle  	 Goat  	 Sheep  	 Poultry  	 Camels  	 Asses  	 Horses  	 Mules  
2000-01	23.3	22.4	49.1	24.2	292.4	0.8	3.9	0.3	0.2
2001-02	24	22.8	50.9	24.4	330	0.8	3.9	0.3	0.2
2002-03	24.8	23.3	52.8	24.6	346.1	0.8	4.1	0.3	0.2
2003-04	25.5	23.8	54.7	24.7	352.6	0.7	4.1	0.3	0.2
2004-05	26.3	24.2	56.7	24.9	372	0.7	4.2	0.3	0.3
2005-06	27.3	29.6	53.8	26.5	433.8	0.9	4.3	0.3	0.2
2006-07	28.2	30.7	55.2	26.8	477	0.9	4.3	0.3	0.2
2007-08	29	31.8	56.7	27.1	518	1	4.4	0.3	0.2
2008-09	29.9	33	58.3	27.4	562	1	4.5	0.4	0.2
2009-10	30.8	34.3	59.9	27.8	610	1	4.6	0.4	0.2
2010-11	31.7	35.6	61.5	28.1	663	1	4.7	0.4	0.2
2011-12	32.7	36.9	63.1	28.4	721	1	4.8	0.4	0.2
2012-13	33.7	38.3	64.9	28.8	785	1	4.9	0.4	0.2
2013-14	34.6	39.7	66.6	29.1	855	1	4.9	0.4	0.2
2014-15	35.6	41.2	68.4	29.4	932	1	5	0.4	0.2
2015-16	36.6	42.8	70.3	29.8	1016	1	5.1	0.4	0.2
2016-17	37.7	44.4	72.2	30.1	1108	1.1	5.2	0.4	0.2
2017-18	38.8	46.1	74.1	30.5	1210	1.1	5.3	0.4	0.2
table	LIVESTOCK POPULATION	LIVESTOCK POPULATION	LIVESTOCK POPULATION	LIVESTOCK POPULATION	LIVESTOCK POPULATION	LIVESTOCK POPULATION	LIVESTOCK POPULATION	LIVESTOCK POPULATION	LIVESTOCK POPULATION
