Fiscal Year 	Cropped Area (million hectares)	Improved Seed distribution (000 Tonnes)	Water ^ Availability (MAF)	Fertilizer Offtake (000 N/T)	Credit disbursed (Rs million)	Tubewells Public & Private (Number in 000)	Production of Tractors (Nos)	Productoin of meat (000 Tonnes)	Milk (000 Tonnes)	Fish production (000 Tonees)	Total Forest Production (000 cu.mtr.)
2000-01	22.04	193.8	134.77	2964	44790	659.3	32553	2015	26284	629.6	472
2001-02	22.12	191.57	134.63	2929	52314	707.3	24311	2072	27031	637.8	487
2002-03	21.85	172.02	134.48	3020	58915	769	27101	2132	27811	566.2	266
2003-04	22.94	178.77	134.78	3222	73446	950.1	36059	2188	28624	573.5	313
2004-05	22.78	218.12	135.68	3694.04	108733	984.3	44095	2271	29438	580.6	282
2005-06	23.13	226.07	137.98	3804	137474	999.6	49642	2515	31970	604.9	265
2006-07	23.56	218.6	137.8	3672	168830	1025.8	54431	2618	32986	640	373
2007-08	23.85	264.67	137.8	3581	211561	1016.1	53598	2728	34064	885	363
2008-09	24.12	314.63	131.51	3711	233010	1070	60561	2843	35160	914.1	347
2009-10	23.87	312.63	133.7	4360	248120	1088	71607	2965	36299	925.8	356
2010-11	22.72	331.02	137.16	3933	263022	1103.4	71550	3094	37475	699.9	352
2011-12	22.5	346.38	135.86	3861	293850	997.7	48120	3232	38617	724.8	354
2012-13	22.56	327.08	137.51	3621	336247	1220.4	48871	3379	39855	728.8	354
2013-14	22.16	359.18	137.51	4089	391353	1317.3	34521	3531	41133	735	
2014-15	23.27	481	138.59	4316	515875	1333.5	45860	3696	42454	765	
2015-16	23.67	473.15	133	3699	598287	1355.5	33883	3873	43818	788	
2016-17	23.25	428.17	132.7	5040	704488	1361.6	53499	4061	45227	797	
2017-18P	23.25	476.61	133.4	3709	569973		45325	4262	46682	807	
table	BASIC DATA ON AGRICULTURE	BASIC DATA ON AGRICULTURE	BASIC DATA ON AGRICULTURE	BASIC DATA ON AGRICULTURE	BASIC DATA ON AGRICULTURE	BASIC DATA ON AGRICULTURE	BASIC DATA ON AGRICULTURE	BASIC DATA ON AGRICULTURE	BASIC DATA ON AGRICULTURE	BASIC DATA ON AGRICULTURE	BASIC DATA ON AGRICULTURE
