Fiscal Year 	Total Area 	Reported Area 	Forest Area 	Not Available for Cultivation	Culturable Waste 	Current Fallow	 Net Area Sown	Total Area  Cultivated	Area Sown more than once	Total Cropped Area
2000-01	79.61	59.44	3.77	24.37	9.17	6.73	15.4	22.13	6.64	22.04
2001-02	79.61	59.33	3.8	24.31	8.95	6.6	15.67	22.27	6.45	22.12
2002-03	79.61	59.45	4.04	24.25	8.95	6.61	15.6	22.21	6.25	21.85
2003-04	79.61	59.46	4.01	24.23	9.1	6.23	15.89	22.12	7.05	22.94
2004-05	79.61	59.48	4.02	24.39	8.94	6.86	15.27	22.13	7.51	22.78
2005-06	79.61	57.22	4.03	22.87	8.21	6.72	15.39	22.11	7.74	23.13
2006-07	79.61	57.05	4.19	22.7	8.3	5.72	16.16	21.87	7.4	23.56
2007-08	79.61	57.08	4.21	23.41	8.19	4.93	16.34	21.17	7.51	23.85
2008-09	79.61	57.21	4.21	23.47	8.15	5.04	16.34	21.38	7.78	24.12
2009-10	79.61	57.21	4.23	23.49	8.09	5.2	16.2	21.4	7.67	23.87
2010-11	79.61	57.64	4.26	23.37	7.98	6.38	15.65	22.03	7.07	22.72
2011-12	79.61	57.73	4.26	23.25	8.19	7.05	14.98	22.03	7.52	22.5
2012-13	79.61	57.79	4.26	23.06	8.21	7.04	15.22	22.26	7.34	22.56
2013-14	79.61	57.99	4.55	23.01	8.27	6.68	15.4	22.06	7.76	22.16
2014-15	79.61	57.99	4.54	23.1	8.3	6.66	15.46	22.1	7.82	23.27
2015-16	79.61	58	4.54	23.04	8.29	6.74	15.39	22.11	7.76	23.67
2016-17P	79.61	57.9	4.55	23	8.25	6.75	15.36	22.06	7.56	23.25
2017-18P	79.61	57.9	4.55	23	8.25	6.75	15.36	22.06	7.56	23.25
table	LAND UTILIZATION	LAND UTILIZATION	LAND UTILIZATION	LAND UTILIZATION	LAND UTILIZATION	LAND UTILIZATION	LAND UTILIZATION	LAND UTILIZATION	LAND UTILIZATION	LAND UTILIZATION
