Fiscal Year	Wheat	Rice	Bajra	Jowar	Maize	Barley	Total Food Grains	Gram  	Sugarcane	Rapeseed and Mustard	Sesamum 	Cotton  	Tobacco  
2000-01	8181	2377	390	354	944	113	12359	905	961	273	101	2927	46
2001-02	8058	2114	417	358	942	111	12000	934	1000	269	136	3116	49
2002-03	8034	2225	349	338	935	108	11989	963	1100	256	88	2794	47
2003-04	8216	2461	539	392	947	102	12657	982	1074	259	60	2989	46
2004-05	8358	2520	343	308	982	93	12603	1094	966	243	66	3193	50
2005-06	8448	2621	441	254	1042	90	12896	1029	907	217	82	3103	56
2006-07	8578	2581	504	292	1017	94	13066	1052	1029	256	71	3075	51
2007-08	8550	2515	531	281	1052	91	13020	1107	1241	224	76	3054	51
2008-09	9046	2963	470	263	1052	86	13880	1081	1029	233	91	2820	50
2009-10	9132	2883	476	248	935	84	13758	1067	943	178	80	3106	56
2010-11	8901	2365	548	229	974	77	13094	1054	988	212	78	2689	51
2011-12	8650	2571	458	214	1087	72	13052	1008	1058	201	76	2835	46
2012-13	8660	2309	461	198	1060	73	12761	992	1129	224	71	2879	50
2013-14	9199	2789	475	198	1168	71	13900	950	1173	220	82	2806	49
2014-15	9204	2891	462	195	1142	68	13962	943	1141	214	83	2961	54
2015-16	9224	2739	486	274	1191	66	13980	940	1131	201	79	2902	53
2016-17	8972	2724	469	256	1348	61	13830	971	1218	190	80	2489	47
2017-18P	8734	2899	489	255	1229	60	13666	978	1313	198	83	2699	47
table	AREA UNDER IMPORTANT CROPS	AREA UNDER IMPORTANT CROPS	AREA UNDER IMPORTANT CROPS	AREA UNDER IMPORTANT CROPS	AREA UNDER IMPORTANT CROPS	AREA UNDER IMPORTANT CROPS	AREA UNDER IMPORTANT CROPS	AREA UNDER IMPORTANT CROPS	AREA UNDER IMPORTANT CROPS	AREA UNDER IMPORTANT CROPS	AREA UNDER IMPORTANT CROPS	AREA UNDER IMPORTANT CROPS	AREA UNDER IMPORTANT CROPS
