Fiscal Year  	Wheat   	Rice   	Bajra	Jowar	Maize   	Barley   	Total Food Grains 	Gram   	Sugarcane	Rapeseed and Mustard 	Sesamum  	Cotton (000 tonnes) 	Cotton (000 Bales) 	Tobacco  
2000-01	19024	4803	199	218	1643	99	25987	397	43606	230	50.7	1826	10732	85
2001-02	18226	3882	216	222	1664	100	24311	362	48042	221	69.6	1805	10613	94
2002-03	19183	4478	189	203	1737	100	25889	675	52056	215	19.3	1737	10211	88
2003-04	19500	4848	274	238	1897	98	26855	611	53419	221	25	1709	10048	86
2004-05	21612	5025	193	186	2797	92	29905	868	47244	203	30	2426	14265	101
2005-06	21277	5547	221	153	3110	88	30396	480	44666	172	35	2215	13019	113
2006-07	23295	5438	238	180	3088	93	32337	838	54742	212	30	2187	12856	103
2007-08	20959	5563	305	170	3605	87	31198	475	63920	176	32.8	1982	11655	108
2008-09	24033	6952	296	165	3593	82	35121	741	50045	188	41	2010	11819	105
2009-10	23311	6883	293	154	3261	71	33973	562	49373	151	33.4	2196	12914	119
2010-11	25214	4823	346	141	3707	71	34302	496	55309	188	31	1949	11460	103
2011-12	23473	6160	304	137	4338	66	34478	284	58397	164	30.2	2310	13595	98
2012-13	24211	5536	311	123	4220	67	34468	751	63750	205	29.2	2214	13031	108
2013-14	25979	6798	301	119	4944	67	38208	399	67460	203	32.4	2170	12769	130
2014-15	25086	7003	294	115	4937	63	37498	379	62826	196	33.1	2372	13960	120
2015-16	25633	6801	300	161	5271	61	38227	286	65482	185	31.8	1688	9917	116
2016-17	26674	6849	305	148	6134	58	40168	330	75482	181	34.1	1816	10671	100
2017-18P	25492	7442	335	154	5702	58	39183	340	81102	181	35.3	2030	11935	100
table	PRODUCTION OF IMPORTANT CROPS	PRODUCTION OF IMPORTANT CROPS	PRODUCTION OF IMPORTANT CROPS	PRODUCTION OF IMPORTANT CROPS	PRODUCTION OF IMPORTANT CROPS	PRODUCTION OF IMPORTANT CROPS	PRODUCTION OF IMPORTANT CROPS	PRODUCTION OF IMPORTANT CROPS	PRODUCTION OF IMPORTANT CROPS	PRODUCTION OF IMPORTANT CROPS	PRODUCTION OF IMPORTANT CROPS	PRODUCTION OF IMPORTANT CROPS	PRODUCTION OF IMPORTANT CROPS	PRODUCTION OF IMPORTANT CROPS
