Fiscal Year	Wheat	Rice	Sugarcane	Maize	Gram	Cotton
2000-01	2325	2021	45376	1741	439	624
2001-02	2262	1836	48042	1766	388	579
2002-03	2388	2013	47324	1858	701	622
2003-04	2375	1970	49738	2003	622	572
2004-05	2568	1995	48906	2848	793	760
2005-06	2519	2116	49246	2985	467	714
2006-07	2716	2107	53199	3036	797	711
2007-08	2451	2212	51507	3427	429	649
2008-09	2657	2346	48634	3415	685	713
2009-10	2553	2387	52357	3487	527	707
2010-11	2833	2039	55981	3806	471	725
2011-12	2714	2396	55196	3991	282	815
2012-13	2796	2398	56466	3981	757	769
2013-14	2824	2437	57511	4233	420	774
2014-15	2726	2422	55062	4323	402	802
2015-16	2779	2483	57897	4426	304	582
2016-17	2973	2514	61972	4550	340	730
2017-18P	2919	2567	61768	4640	348	752
table	YIELD PER HECTARE OF MAJOR AGRICULTURAL CROPS	YIELD PER HECTARE OF MAJOR AGRICULTURAL CROPS	YIELD PER HECTARE OF MAJOR AGRICULTURAL CROPS	YIELD PER HECTARE OF MAJOR AGRICULTURAL CROPS	YIELD PER HECTARE OF MAJOR AGRICULTURAL CROPS	YIELD PER HECTARE OF MAJOR AGRICULTURAL CROPS
