Fiscal Year  	 Citrus  	 Mango  	Apple 	Banana 	Apricot	Almonds	 Grapes  	 Guava  	 (000 tonnes) 	Value (Mln. Rs) 
2000-01	1898	990	439	139	126	33	51	526	260	4575
2001-02	1830	1037	367	150	125	26	53	539	290	5084
2002-03	1702	1035	315	143	130	24	52	532	263	4815
2003-04	1760	1056	334	175	211	24	51	550	354	5913
2004-05	1944	1671	352	148	205	23	49	571	281	5408
2005-06	2458	1754	351	164	197	23	49	552	455	7508
2006-07	1472	1719	348	151	177	23	47	555	343	6894
2007-08	2294	1754	442	158	240	27	75	539	411	9085
2008-09	2132	1728	441	157	238	26	76	512	469	12519
2009-10	2150	1846	366	155	194	22	65	509	687	20094
2010-11	1982	1889	526	139	190	22	64	547	669	25017
2011-12	2147	1700	599	97	189	21	64	495	737	32068
2012-13	2002	1680	556	116	179	22	64	500	718	38085
2013-14	2168	1659	606	119	178	22	66	496	784	45196
2014-15	2395	1717	617	118	171	22	66	488	682	44375
2015-16	2344	1637	621	135	173	22	66	523	677	44607
2016-17P	2180	1784	670	137	166	22	66	548	650	39959
2017-18P	2180	1733	649	135	166	22	66	567	413	26193
table	PRODUCTION AND EXPORT OF FRUIT	PRODUCTION AND EXPORT OF FRUIT	PRODUCTION AND EXPORT OF FRUIT	PRODUCTION AND EXPORT OF FRUIT	PRODUCTION AND EXPORT OF FRUIT	PRODUCTION AND EXPORT OF FRUIT	PRODUCTION AND EXPORT OF FRUIT	PRODUCTION AND EXPORT OF FRUIT	PRODUCTION AND EXPORT OF FRUIT	PRODUCTION AND EXPORT OF FRUIT
