Fiscal Year	Food Crops	Wheat	Maize	Rice	Cash Crop	Sugarcane	Fibre Crop	Cotton
2009-10	60.43	40.14	6.47	13.83	10.66	10.66	28.91	28.91
2010-11	61.92	44.07	7.5	10.34	12.03	12.03	26.05	26.05
2011-12	58.94	38.92	8.32	11.69	11.83	11.83	29.23	29.23
2012-13	58.79	40.21	8.09	10.49	13.15	13.15	28.06	28.06
2013-14	61.21	40.29	8.88	12.04	13.09	13.09	25.7	25.7
2014-15	59.94	38.63	8.83	12.49	12.11	12.11	27.95	27.95
2015-16	65.26	42.24	10.08	12.94	13.51	13.51	21.22	21.22
2016-17	64.2	40.98	10.99	12.23	14.49	14.49	21.31	21.31
2017-18	61.49	38.42	10	13.07	15.18	15.18	23.34	23.34
table	CROP WISE COMPOSITION OF OUTPUT OF IMPORTANT AGRICULTURAL CROPS	CROP WISE COMPOSITION OF OUTPUT OF IMPORTANT AGRICULTURAL CROPS	CROP WISE COMPOSITION OF OUTPUT OF IMPORTANT AGRICULTURAL CROPS	CROP WISE COMPOSITION OF OUTPUT OF IMPORTANT AGRICULTURAL CROPS	CROP WISE COMPOSITION OF OUTPUT OF IMPORTANT AGRICULTURAL CROPS	CROP WISE COMPOSITION OF OUTPUT OF IMPORTANT AGRICULTURAL CROPS	CROP WISE COMPOSITION OF OUTPUT OF IMPORTANT AGRICULTURAL CROPS	CROP WISE COMPOSITION OF OUTPUT OF IMPORTANT AGRICULTURAL CROPS
