Fiscal Year  	ZTBL   	Domestic Private Banks  	PPCBL   	Commercial Banks  	MFBs   	Islamic Banks	MFIs/RSPs	Total   
2000-01	27610	-	5124	12056	-	-	-	44790
2001-02	29108	593	5128	17486	-	-	-	52314
2002-03	29270	1421	5485	22739	-	-	-	58915
2003-04	29933	2702	7564	33247	-	-	-	73446
2004-05	37409	12407	7607	51310	-	-	-	108733
2005-06	47594	16023	5889	67967	-	-	-	137474
2006-07	56473	23976	7988	80393	-	-	-	168830
2007-08	66939	43941	5931	94749	-	-	-	211561
2008-09	75139	41626	5579	110666	-	-	-	233010
2009-10	79012	43777	5722	119609	-	-	-	248120
2010-11	65361	50187	7162	140312	-	-	-	263022
2011-12	66068	60876	8520	146271	12115	-	-	293850
2012-13	67068	69271	8304	172833	18770	-	-	336247
2013-14	77920	84813	8809	195488	22796	1527	-	391353
2014-15	95827	108708	10486	262912	32951	4991	-	515875
2015-16	90977	123097	10335	311401	53938	8540	-	598287
2016-17	92451	139061	10880	342068	87772	12326	19930	704488
2017-18P	51897	112915	6073	292028	79586	9333	18140	569973
table	CREDIT DISBURSED BY AGENCIES	CREDIT DISBURSED BY AGENCIES	CREDIT DISBURSED BY AGENCIES	CREDIT DISBURSED BY AGENCIES	CREDIT DISBURSED BY AGENCIES	CREDIT DISBURSED BY AGENCIES	CREDIT DISBURSED BY AGENCIES	CREDIT DISBURSED BY AGENCIES
