Fiscal Year ,Production of Tractors (Nos),  ,Production of meat (000 Tonnes),Milk (000 Tonnes) ,Fish Production (000 Tonnes),Total Forest Production (000 cu.mtr.)
2000-01,32553,,2015,26284,629.6,472
2001-02,24311,,2072,27031,637.8,487
2002-03,27101,,2132,27811,566.2,266
2003-04,36059,,2188,28624,573.5,313
2004-05,44095,,2271,29438,580.6,282
2005-06,49642,,2515,31970,604.9,265
2006-07,54431,,2618,32986,640,373
2007-08,53598,,2728,34064,885,363
2008-09,60561,,2843,35160,914.1,347
2009-10,71607,,2965,36299,925.8,356
2010-11,71550,,3094,37475,699.9,352
2011-12,48120,,3232,38617,724.8,354
2012-13,48871,,3379,39855,728.8,354
2013-14,34521,,3531,41133,735,-
2014-15,45860,,3696,42454,765,-
2015-16,33883,,3873,43818,788,-
2016-17,53499,,4061,45227,797,-
2017-18 P,45325,*,4262,46682,807,-
