Year    	Primary Schools (000) Total	Primary Schools (000) Female	Middle Schools (000) Total	Middle Schools (000) Female  	High Schools (000)  Total	High Schools (000)  Female  	Technical & Voca- tional Institutions Total	Technical & Voca- tional Institutions Female 	Higher Sec/ Inter Colleges  Total	Higher Sec/ Inter Colleges  Female  	Degree Colleges Total	Degree Colleges Female  	Universities Total  
2000-01	147.7	54.3	25.5	12	14.8	4.6	630	236	1710	691	366	171	59
2001-02	149.1	55.3	26.8	12.8	15.1	4.6	607	239	1784	731	376	177	74
2002-03	150.8	56.1	28	13.5	15.6	4.8	585	230	1855	768	386	186	96
2003-04	155	57.6	28.7	13.9	16.1	5.1	624	228	1989	822	426	206	106
2004-05	157.2	58.7	30.4	14.8	16.6	5.3	747	328	1604	684	677	331	108
2005-06	157.5	59.8	39.4	19.3	22.9	8.1	3059	1475	2996	1484	1135	664	111
2006-07	158.4	60.9	40.1	17.5	23.6	9	3090	1491	3095	1420	1166	631	120
2007-08	157.4	64.9	40.8	20.6	24	9	3125	1507	3213	1642	1202	700	124
2008-09	156.7	63.4	40.9	20.4	24.3	9.2	3159	1523	3242	1707	1336	733	129
2009-10	157.5	60.6	41.3	19.5	24.8	10.6	3192	2182	3329	1763	1439	821	132
2010-11	155.5	58.2	41.6	20.4	25.2	9.5	3224	2206	3435	1690	1558	814	135
2011-12	154.7	57	41.9	21	28.7	11.6	3257	2229	4515	2184	1384	643	139
2012-13	159.7	60.1	42.2	21.4	29.9	12.3	3290	2253	5030	2410	1534	683	147
2013-14	157.9	60.3	42.9	21.1	30.6	12.6	3323	2276	5179	2462	1086	518	161
2014-15	165.9	66	44.8	22.4	31.3	13.1	3579	1819	5393	2567	1410	308	163
2015-16	164.6	65.3	45.7	27	31.7	15.6	3746	1514	5470	1437	1418	260	163
2016-17 (P)	169.6	59	49	28	31.6	14.7	3798	1536	5130	2689	1431	344	185
2017-18 (E)	173.7	58.7	51.4	31	31.9	15.5	3979	1370	5114	2772	1583	305	-
table	NUMBER OF EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX	NUMBER OF EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX	NUMBER OF EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX	NUMBER OF EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX	NUMBER OF EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX	NUMBER OF EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX	NUMBER OF EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX	NUMBER OF EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX	NUMBER OF EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX	NUMBER OF EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX	NUMBER OF EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX	NUMBER OF EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX	NUMBER OF EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX

