Year    	Primary Stage I-V in 000 Total	Primary Stage I-V in 000 Female	Middle Stage VI-VIII in 000 Total	Middle Stage VI-VIII in 000 Female	High Stage IX-X in 000 Total	High Stage IX-X in 000 Female	Technical & Vocational in 000 Total	Technical & Vocational in 000 Female	Higher Sec/ Inter Colleges in 000 Total	Higher Sec/ Inter Colleges in 000 Female	Degree Colleges Numbers Total	Degree Colleges Numbers Female	Universities Numbers  Total	Universities Numbers  Female
2000-01	14105	5559	3759	1706	1565	675	83	14	582	283	305200	149600	124944	36699
2001-02	14560	5871	3821	1506	1574	644	83	15	582	285	300400	148000	276274	101770
2002-03	15094	6132	3918	1551	1589	658	94	19	625	306	320800	158400	331745	128066
2003-04	16207	6606	4321	1737	1800	709	105	14	691	338	329007	163059	423236	178723
2004-05	18190	7642	4612	1885	1936	780	114	21	307	141	453275	220118	471964	195555
2005-06	17757	7710	5322	2191	2188	905	239	90	891	444	355705	209806	521473	212997
2006-07	17993	7848	5431	2264	2373	974	251	94	942	473	380012	224263	605885	255695
2007-08	18360	8032	5427	2279	2484	1022	256	96	960	452	383810	226517	741092	342125
2008-09	18468	8144	5414	2298	2556	1071	265	99	1074	508	366518	222850	803507	356233
2009-10	18772	8320	5504	2337	2583	1078	273	102	1166	495	383954	217621	935599	426323
2010-11	18063	7971	5644	2421	2630	1103	281	106	1188	408	431180	218374	1107682	521284
2011-12	18677	7905	6020	2573	2753	1155	290	109	1294	367	497152	222098	1319799	642198
2012-13	18790	8278	6188	2653	2898	1215	302	113	1400	395	641539	234006	1594648	805062
2013-14	19441	8567	6461	2798	3109	1303	309	117	1234	497	674451	326858	1594648	805062
2014-15	19847	8778	6582	2843	3501	1493	320	112	1665	662	1144826	171324	1299160	602550
2015-16	21551	9534	6922	3026	3653	1580	315	112	1698	675	937132	86134	1355649	602509
2016-17 (P)	21686	9660	6996	3088	3583	1541	345	120	1595	618	956395	89512	1463279	667912
2017-18 (E)	22521	10070	7189	3194	3765	1634	358	121	1751	668	1089664	67846	1423097	629984
table	ENROLMENT IN EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX	ENROLMENT IN EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX	ENROLMENT IN EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX	ENROLMENT IN EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX	ENROLMENT IN EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX	ENROLMENT IN EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX	ENROLMENT IN EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX	ENROLMENT IN EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX	ENROLMENT IN EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX	ENROLMENT IN EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX	ENROLMENT IN EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX	ENROLMENT IN EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX	ENROLMENT IN EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX	ENROLMENT IN EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX
