Year    	Primary Schools in 000  Total	Primary Schools in 000 Female 	Middle Schools in 000  Total	Middle Schools in 000  Female 	High Schools in 000  Total 	High Schools in 000 Female 	Technical & Voca- tional Institutions Numbers Total	Technical & Voca- tional Institutions Numbers Female 	Higher Sec/ Inter Colleges Numbers Total 	Higher Sec/ Inter Colleges Numbers Female 	Degree Colleges Numbers Total 	Degree Colleges Numbers Female 	Universities Numbers  Total 
2000-01	408.9	183.6	209.7	127.8	260.3	125.3	9441	1959	48054	21506	11019	4218	5988
2001-02	413.9	183.5	230.1	139.3	270.2	126.1	7192	1863	55146	23016	10598	4164	5160
2002-03	433.5	191.7	236.3	145.8	278	131.9	7273	1623	57681	24146	11164	4410	6180
2003-04	432.2	195.3	239.4	146.6	276.9	134.2	7042	1325	57881	24190	11245	4505	37428
2004-05	450.1	206.5	246.7	151.5	282.1	138.6	7356	1450	57661	24366	15653	6690	37469
2005-06	454.2	210.6	310.8	201.6	417.1	209.9	14565	4658	69425	33959	20568	10485	37509
2006-07	456	212.6	313.5	203.3	421.7	213	14622	4676	71246	34996	20768	10587	44537
2007-08	452.6	216	320.6	208.2	429.9	219.7	14914	4770	74223	36162	20971	10690	46893
2008-09	465.3	216.2	320.5	209	439.3	225.5	15264	5061	76184	37149	21176	10794	52833
2009-10	441.7	208.9	331.5	216.6	447.1	230.4	15338	4905	77248	37595	30754	14313	57780
2010-11	440.5	210.1	335	220.3	452.8	235.3	15591	4993	81183	39378	36349	16181	63557
2011-12	427.4	198.6	351.4	233.9	458.7	271.3	15847	5079	97633	52746	40191	16815	70053
2012-13	428.8	209.1	362.6	241.5	489.6	287.2	16109	5168	132011	71121	48809	19319	77557
2013-14	420.1	209.5	364.8	243.6	500.5	296.3	16377	5259	124336	58867	25964	7599	77557
2014-15	430.9	218.9	380.8	256.1	514.2	306.2	19393	5353	118079	63569	36587	7239	88288
2015-16	444.6	226.3	394.2	270.3	529.5	318	18157	4384	123061	66528	37082	7379	83375
2016-17 (P)	475.2	258.9	455.4	325.7	560.6	342.6	18207	4304	120336	63386	37857	7541	58733
2017-18 (E)	496	279.3	493.1	362.3	583.1	360.4	18885	4043	119046	65008	43637	7522	53981
table	NUMBER OF TEACHERS IN EDUCATIONAL INSTITUTIONS IN PAKISTAN, BY KIND, LEVEL & SEX	NUMBER OF TEACHERS IN EDUCATIONAL INSTITUTIONS IN PAKISTAN, BY KIND, LEVEL & SEX	NUMBER OF TEACHERS IN EDUCATIONAL INSTITUTIONS IN PAKISTAN, BY KIND, LEVEL & SEX	NUMBER OF TEACHERS IN EDUCATIONAL INSTITUTIONS IN PAKISTAN, BY KIND, LEVEL & SEX	NUMBER OF TEACHERS IN EDUCATIONAL INSTITUTIONS IN PAKISTAN, BY KIND, LEVEL & SEX	NUMBER OF TEACHERS IN EDUCATIONAL INSTITUTIONS IN PAKISTAN, BY KIND, LEVEL & SEX	NUMBER OF TEACHERS IN EDUCATIONAL INSTITUTIONS IN PAKISTAN, BY KIND, LEVEL & SEX	NUMBER OF TEACHERS IN EDUCATIONAL INSTITUTIONS IN PAKISTAN, BY KIND, LEVEL & SEX	NUMBER OF TEACHERS IN EDUCATIONAL INSTITUTIONS IN PAKISTAN, BY KIND, LEVEL & SEX	NUMBER OF TEACHERS IN EDUCATIONAL INSTITUTIONS IN PAKISTAN, BY KIND, LEVEL & SEX	NUMBER OF TEACHERS IN EDUCATIONAL INSTITUTIONS IN PAKISTAN, BY KIND, LEVEL & SEX	NUMBER OF TEACHERS IN EDUCATIONAL INSTITUTIONS IN PAKISTAN, BY KIND, LEVEL & SEX	NUMBER OF TEACHERS IN EDUCATIONAL INSTITUTIONS IN PAKISTAN, BY KIND, LEVEL & SEX
