,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17 (P),2017-18 (E),table
Primary schools (000) total,147.7,149.1,150.8,155.0,157.2,157.5,158.4,157.4,156.7,157.5,155.5,154.7,159.7,157.9,165.9,164.6,169.6,173.7,"NUMBER OF EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX"
Primary schools (000) female,54.3,55.3,56.1,57.6,58.7,59.8,60.9,64.9,63.4,60.6,58.2,57.0,60.1,60.3,66.0,65.3,59.0,58.7,"NUMBER OF EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX"
Middle schools (000) total,25.5,26.8,28.0,28.7,30.4,39.4,40.1,40.8,40.9,41.3,41.6,41.9,42.2,42.9,44.8,45.7,49.0,51.4,"NUMBER OF EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX"
Middle schools (000) female,12.0,12.8,13.5,13.9,14.8,19.3,17.5,20.6,20.4,19.5,20.4,21.0,21.4,21.1,22.4,27.0,28.0,31.0,"NUMBER OF EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX"
High schools (000) total,14.8,15.1,15.6,16.1,16.6,22.9,23.6,24.0,24.3,24.8,25.2,28.7,29.9,30.6,31.3,31.7,31.6,31.9,"NUMBER OF EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX"
High schools (000) female,4.6,4.6,4.8,5.1,5.3,8.1,9.0,9.0,9.2,10.6,9.5,11.6,12.3,12.6,13.1,15.6,14.7,15.5,"NUMBER OF EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX"
Technical & voca- tional institutions total,630.0,607.0,585.0,624.0,747.0,3059.0,3090.0,3125.0,3159.0,3192.0,3224.0,3257.0,3290.0,3323.0,3579.0,3746.0,3798.0,3979.0,"NUMBER OF EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX"
Technical & voca- tional institutions female,236.0,239.0,230.0,228.0,328.0,1475.0,1491.0,1507.0,1523.0,2182.0,2206.0,2229.0,2253.0,2276.0,1819.0,1514.0,1536.0,1370.0,"NUMBER OF EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX"
Higher sec/ inter colleges total,1710.0,1784.0,1855.0,1989.0,1604.0,2996.0,3095.0,3213.0,3242.0,3329.0,3435.0,4515.0,5030.0,5179.0,5393.0,5470.0,5130.0,5114.0,"NUMBER OF EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX"
Higher sec/ inter colleges female,691.0,731.0,768.0,822.0,684.0,1484.0,1420.0,1642.0,1707.0,1763.0,1690.0,2184.0,2410.0,2462.0,2567.0,1437.0,2689.0,2772.0,"NUMBER OF EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX"
Degree colleges total,366.0,376.0,386.0,426.0,677.0,1135.0,1166.0,1202.0,1336.0,1439.0,1558.0,1384.0,1534.0,1086.0,1410.0,1418.0,1431.0,1583.0,"NUMBER OF EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX"
Degree colleges female,171.0,177.0,186.0,206.0,331.0,664.0,631.0,700.0,733.0,821.0,814.0,643.0,683.0,518.0,308.0,260.0,344.0,305.0,"NUMBER OF EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX"
Universities total,59.0,74.0,96.0,106.0,108.0,111.0,120.0,124.0,129.0,132.0,135.0,139.0,147.0,161.0,163.0,163.0,185.0,,"NUMBER OF EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX"
Primary stage i-v in 000 total,14105.0,14560.0,15094.0,16207.0,18190.0,17757.0,17993.0,18360.0,18468.0,18772.0,18063.0,18677.0,18790.0,19441.0,19847.0,21551.0,21686.0,22521.0,"ENROLMENT IN EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX"
Primary stage i-v in 000 female,5559.0,5871.0,6132.0,6606.0,7642.0,7710.0,7848.0,8032.0,8144.0,8320.0,7971.0,7905.0,8278.0,8567.0,8778.0,9534.0,9660.0,10070.0,"ENROLMENT IN EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX"
Middle stage vi-viii in 000 total,3759.0,3821.0,3918.0,4321.0,4612.0,5322.0,5431.0,5427.0,5414.0,5504.0,5644.0,6020.0,6188.0,6461.0,6582.0,6922.0,6996.0,7189.0,"ENROLMENT IN EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX"
Middle stage vi-viii in 000 female,1706.0,1506.0,1551.0,1737.0,1885.0,2191.0,2264.0,2279.0,2298.0,2337.0,2421.0,2573.0,2653.0,2798.0,2843.0,3026.0,3088.0,3194.0,"ENROLMENT IN EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX"
High stage ix-x in 000 total,1565.0,1574.0,1589.0,1800.0,1936.0,2188.0,2373.0,2484.0,2556.0,2583.0,2630.0,2753.0,2898.0,3109.0,3501.0,3653.0,3583.0,3765.0,"ENROLMENT IN EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX"
High stage ix-x in 000 female,675.0,644.0,658.0,709.0,780.0,905.0,974.0,1022.0,1071.0,1078.0,1103.0,1155.0,1215.0,1303.0,1493.0,1580.0,1541.0,1634.0,"ENROLMENT IN EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX"
Technical & vocational in 000 total,83.0,83.0,94.0,105.0,114.0,239.0,251.0,256.0,265.0,273.0,281.0,290.0,302.0,309.0,320.0,315.0,345.0,358.0,"ENROLMENT IN EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX"
Technical & vocational in 000 female,14.0,15.0,19.0,14.0,21.0,90.0,94.0,96.0,99.0,102.0,106.0,109.0,113.0,117.0,112.0,112.0,120.0,121.0,"ENROLMENT IN EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX"
Higher sec/ inter colleges in 000 total,582.0,582.0,625.0,691.0,307.0,891.0,942.0,960.0,1074.0,1166.0,1188.0,1294.0,1400.0,1234.0,1665.0,1698.0,1595.0,1751.0,"ENROLMENT IN EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX"
Higher sec/ inter colleges in 000 female,283.0,285.0,306.0,338.0,141.0,444.0,473.0,452.0,508.0,495.0,408.0,367.0,395.0,497.0,662.0,675.0,618.0,668.0,"ENROLMENT IN EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX"
Degree colleges numbers total,305200.0,300400.0,320800.0,329007.0,453275.0,355705.0,380012.0,383810.0,366518.0,383954.0,431180.0,497152.0,641539.0,674451.0,1144826.0,937132.0,956395.0,1089664.0,"ENROLMENT IN EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX"
Degree colleges numbers female,149600.0,148000.0,158400.0,163059.0,220118.0,209806.0,224263.0,226517.0,222850.0,217621.0,218374.0,222098.0,234006.0,326858.0,171324.0,86134.0,89512.0,67846.0,"ENROLMENT IN EDUCATIONAL INSTITUTIONS BY KIND, LEVEL & SEX"
