"",,,,,,,,,% Change
"",2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2016-17 / 2017-18 /
Sectors,,,,,,,,,
"",,,,,,F,R,P,2015-16 2016-17
A AGRICULTURE,"1,977,178","2,048,794","2,103,600","2,156,117","2,202,043","2,205,433","2,251,006","2,336,771",2.07 3.81
1. Crops,"806,162","832,128","844,860","867,133","868,494","822,689","830,203","862,004",0.91 3.83
Important Crops,"485,722","523,936","524,839","562,707","553,568","521,125","532,498","551,511",2.18 3.57
Other Crops,"264,934","245,007","258,670","243,890","250,006","251,005","244,323","252,454",-2.66 3.33
Cotton Ginning,"55,506","63,185","61,351","60,536","64,920","50,559","53,382","58,039",5.58 8.72
2. Livestock,"1,087,406","1,130,740","1,169,712","1,198,671","1,246,512","1,288,373","1,326,948","1,376,861",2.99 3.76
3. Forestry,"42,121","42,874","45,695","46,555","40,761","46,592","45,487","48,749",-2.37 7.17
4. Fishing,"41,489","43,052","43,333","43,758","46,276","47,779","48,368","49,157",1.23 1.63
B. INDUSTRIAL SECTOR,"1,935,022","1,984,316","1,999,207","2,089,776","2,198,027","2,323,169","2,449,392","2,591,336",5.43 5.80
1. Mining & Quarrying,"269,798","283,727","294,727","298,856","313,707","333,121","331,849","341,934",-0.38 3.04
2. Manufacturing,"1,227,091","1,252,670","1,313,365","1,387,556","1,441,461","1,494,591","1,581,528","1,680,161",5.82 6.24
Large Scale,"1,007,331","1,018,706","1,064,185","1,122,266","1,159,052","1,193,569","1,260,676","1,338,010",5.62 6.13
Small Scale,"133,556","144,713","156,691","169,677","183,607","198,652","214,843","232,413",8.15 8.18
Slaughtering,"86,204","89,251","92,489","95,613","98,802","102,370","106,009","109,738",3.55 3.52
3.  Electricity Generation & Distribution & Gas,,,,,,,,,
Distribution,"221,379","224,490","165,275","164,054","186,174","203,661","215,506","219,463",5.82 1.84
4. Construction,"216,754","223,429","225,840","239,310","256,685","291,796","320,509","349,778",9.84 9.13
COMMODITY PRODUCING SECTOR (A+B),"3,912,200","4,033,110","4,102,807","4,245,893","4,400,070","4,528,602","4,700,398","4,928,107",3.79 4.84
C. SERVICES SECTOR,"5,208,136","5,437,145","5,716,248","5,971,163","6,231,579","6,588,200","7,013,740","7,464,526",6.46 6.43
1. Wholesale & Retail Trade,"1,718,014","1,746,511","1,808,124","1,894,410","1,943,612","2,035,509","2,187,360","2,351,726",7.46 7.51
"2. Transport, Storage & Communication","1,198,896","1,254,126","1,304,697","1,355,570","1,424,255","1,493,830","1,560,175","1,616,045",4.44 3.58
3. Finance & Insurance,"274,674","279,171","302,392","315,428","335,448","356,981","395,453","419,690",10.78 6.13
4. Housing Services (Ownership of Dwellings),"614,460","639,003","664,542","691,093","718,674","747,343","777,148","808,222",3.99 4.00
5. General Government Services,"569,191","632,130","703,717","723,823","758,746","832,505","882,015","982,748",5.95 11.42
6. Other Private Services,"832,901","886,204","932,776","990,839","1,050,844","1,122,032","1,211,589","1,286,095",7.98 6.15
GDP {Total of GVA at bp (A + B + C)},"9,120,336","9,470,255","9,819,055","10,217,056","10,631,649","11,116,802","11,714,138","12,392,633",5.37 5.79
Indirest Taxes,"504,829","533,424","519,054","556,679","616,350","724,998","795,386","779,332",9.71 -2.02
Subsidies,"221,063","269,772","176,255","136,844","107,861","85,976","83,545","71,254",-2.83 -14.71
GDP {GVA + T - S},"9,404,102","9,733,907","10,161,854","10,636,891","11,140,138","11,755,824","12,425,979","13,100,711",5.70 5.43
Net Factor Income from Abroad,"372,728","386,559","403,132","474,006","548,903","675,096","669,552","692,657",-0.82 3.45
Gross National Income,"9,776,830","10,120,466","10,564,986","11,110,897","11,689,041","12,430,920","13,095,531","13,793,368",5.35 5.33
Population (in million),175.31,178.91,182.53,186.19,189.87,193.56,197.26,200.96,1.91 1.88
Sector,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
"",,,,,,F,R,P
A. AGRICULTURE,21.7,21.6,21.4,21.10,20.71,19.84,19.22,18.86
1. Crops,8.8,8.8,8.6,8.5,8.17,7.40,7.09,6.96
Important Crops,5.3,5.5,5.3,5.5,5.21,4.69,4.55,4.45
Other Crops,2.9,2.6,2.6,2.4,2.35,2.26,2.09,2.04
Cotton Ginning,0.6,0.7,0.6,0.6,0.61,0.45,0.46,0.47
2. Livestock,11.9,11.9,11.9,11.7,11.72,11.59,11.33,11.11
3. Forestry,0.5,0.5,0.5,0.5,0.38,0.42,0.39,0.39
4. Fishing,0.5,0.5,0.4,0.4,0.44,0.43,0.41,0.40
B. INDUSTRIAL SECTOR,21.2,21.0,20.4,20.45,20.67,20.90,20.91,20.91
1. Mining & Quarrying,3.0,3.0,3.0,2.9,2.95,3.00,2.83,2.76
2. Manufacturing,13.5,13.2,13.4,13.6,13.56,13.44,13.50,13.56
Large Scale,11.0,10.8,10.8,11.0,10.90,10.74,10.76,10.80
Small Scale,1.5,1.5,1.6,1.7,1.73,1.79,1.83,1.88
